year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
"*",any,,56104,3857286
"*",birth,,53535,5010410
"*",death,,61597,1583939
"*",marriage,,6257,289479
"*",residence,,7989,124126
1,any,,1588,119
1,birth,4453,4968,4594
1,death,4244,2499,4469
1,marriage,220,215,36
1,residence,13,202,3
2,any,,120,25
2,birth,85,671,4095
2,death,34,484,3869
2,marriage,23,6,3
2,residence,,37,3
3,any,,56,6
3,birth,50,982,3668
3,death,15,822,3472
3,marriage,6,,
4,any,,50,5
4,birth,36,1133,3674
4,death,9,772,3448
4,marriage,5,6,3
4,residence,,2,2
5,any,,110,14
5,birth,84,1003,3779
5,death,26,687,3477
5,marriage,19,4,6
5,residence,,18,
6,any,,90,4
6,birth,60,545,3803
6,death,21,374,3361
6,marriage,28,,3
6,residence,,21,
7,any,,76,9
7,birth,21,654,4090
7,death,5,402,3897
7,marriage,,7,
7,residence,,4,
8,any,,88,26
8,birth,61,762,3819
8,death,9,422,3676
8,marriage,2,32,1
8,residence,,4,
9,any,,99,3
9,birth,40,429,3501
9,death,23,237,3311
9,marriage,10,8,
9,residence,,4,
10,any,,142,15
10,birth,114,950,4569
10,death,24,603,3890
10,marriage,6,18,6
10,residence,,12,4
11,any,,51,22
11,birth,52,517,3661
11,death,13,232,3436
11,marriage,12,5,3
12,any,,129,22
12,birth,64,824,4106
12,death,16,360,3609
12,marriage,15,12,43
12,residence,,,9
13,any,,115,32
13,birth,41,1102,3115
13,death,16,509,2846
13,marriage,20,9,3
13,residence,,1,
14,any,,100,14
14,birth,25,1663,2522
14,death,11,1267,2040
14,marriage,3,2,
14,residence,,2,
15,any,,101,10
15,birth,29,837,3661
15,death,3,518,3103
15,marriage,2,4,5
15,residence,,12,
16,any,,117,26
16,birth,64,829,3586
16,death,26,542,3327
16,marriage,6,22,6
16,residence,,4,
17,any,,138,15
17,birth,259,1677,3929
17,death,115,531,3563
17,marriage,24,67,4
17,residence,,,4
18,any,,366,21
18,birth,485,1200,2872
18,death,151,725,2471
18,marriage,81,9,7
18,residence,21,6,4
19,any,,628,43
19,birth,588,1258,3274
19,death,243,853,2901
19,marriage,88,102,20
19,residence,20,62,13
20,any,,235,35
20,birth,33,832,3831
20,death,39,660,3415
20,marriage,12,17,23
20,residence,,16,18
21,any,,141,27
21,birth,60,578,4581
21,death,55,332,3209
21,marriage,6,2,57
21,residence,,3,3
22,any,,85,27
22,birth,24,940,2939
22,death,14,646,2588
22,marriage,,15,
23,any,,54,31
23,birth,94,475,3448
23,death,88,248,2947
23,marriage,,13,6
23,residence,,3,3
24,any,,54,6
24,birth,25,1015,4051
24,death,,677,3649
24,marriage,2,23,5
25,any,,125,32
25,birth,78,1198,4092
25,death,18,1053,3639
25,marriage,24,8,12
25,residence,,2,4
26,any,,62,9
26,birth,33,483,2649
26,death,6,299,2400
26,marriage,14,3,27
27,any,,51,3
27,birth,49,780,2616
27,death,5,441,2451
27,marriage,8,13,19
27,residence,,8,8
28,any,,61,11
28,birth,26,462,3107
28,death,19,674,2776
28,marriage,12,3,23
28,residence,2,,2
29,any,,90,8
29,birth,105,395,2737
29,death,83,203,2410
29,marriage,89,2,
30,any,,189,33
30,birth,29,486,2496
30,death,15,302,2216
30,marriage,1,15,5
30,residence,,12,2
31,any,,69,16
31,birth,17,543,1983
31,death,,294,1656
31,marriage,2,,5
32,any,,41,3
32,birth,3,195,326
32,death,,106,190
32,residence,,3,
33,any,,80,60
33,birth,,752,349
33,death,,607,239
33,marriage,,17,2
33,residence,,10,
34,any,,41,22
34,birth,5,204,228
34,death,,107,158
34,residence,,2,
35,any,,84,37
35,birth,2,385,607
35,death,,289,611
35,residence,,6,2
36,any,,57,6
36,birth,,193,187
36,death,,107,135
36,marriage,,14,2
37,any,,51,3
37,birth,,218,191
37,death,,144,178
37,marriage,1,,
38,any,,48,10
38,birth,,214,208
38,death,,127,615
38,marriage,,4,
38,residence,,2,
39,any,,41,8
39,birth,,234,203
39,death,,148,190
40,any,,130,98
40,birth,1,531,282
40,death,,463,213
40,marriage,,,38
40,residence,,2,28
41,any,,78,4
41,birth,,168,197
41,death,,92,187
42,any,,53,35
42,birth,9,174,163
42,death,,96,120
42,marriage,,4,4
43,any,,43,9
43,birth,,189,168
43,death,,96,100
44,any,,73,17
44,birth,6,335,167
44,death,,267,131
44,residence,,12,10
45,any,,89,20
45,birth,11,479,326
45,death,,354,276
46,any,,30,18
46,birth,,178,109
46,death,,93,60
47,any,,13,2
47,birth,1,198,209
47,death,,114,146
47,marriage,,,3
47,residence,,3,3
48,any,,20,19
48,birth,,170,209
48,death,,104,140
48,marriage,,3,
49,any,,25,6
49,birth,1,207,202
49,death,,129,186
50,any,,102,98
50,birth,5,438,380
50,death,,317,276
50,marriage,,12,11
50,residence,,2,
51,any,,39,4
51,birth,,234,153
51,death,,143,97
51,marriage,,24,5
51,residence,,24,
52,any,,30,14
52,birth,21,136,154
52,death,,60,100
52,marriage,,9,3
52,residence,,6,
53,any,,83,
53,birth,,202,145
53,death,,113,102
53,residence,,34,
54,any,,73,8
54,birth,2,197,178
54,death,,109,124
54,marriage,1,,
54,residence,2,22,20
55,any,,124,9
55,birth,3,486,464
55,death,,367,386
55,marriage,,45,3
55,residence,,58,
56,any,,25,1
56,birth,,168,163
56,death,,87,115
56,marriage,,,21
57,any,,37,4
57,birth,16,164,176
57,death,,113,119
58,any,,35,6
58,birth,1,259,137
58,death,,117,96
58,marriage,,,6
59,any,,39,23
59,birth,,188,221
59,death,,115,171
59,marriage,,12,
59,residence,,,24
60,any,,121,121
60,birth,4,280,315
60,death,,187,198
60,marriage,,1,42
60,residence,,2,46
61,any,,61,17
61,birth,3,151,191
61,death,,84,145
61,marriage,,,3
62,any,,15,26
62,birth,80,130,117
62,death,,120,55
62,marriage,26,,
63,any,,74,12
63,birth,76,233,185
63,death,,123,131
63,marriage,,7,12
63,residence,,5,
64,any,,42,5
64,birth,59,230,122
64,death,,160,105
64,marriage,46,,5
64,residence,,2,5
65,any,,34,26
65,birth,2,341,437
65,death,,281,384
65,marriage,,2,
65,residence,,6,6
66,any,,8,
66,birth,2,132,141
66,death,,76,90
66,marriage,,2,
67,any,,42,2
67,birth,1,192,173
67,death,,81,129
67,marriage,,24,
68,any,,28,6
68,birth,,176,174
68,death,,94,123
68,marriage,,,2
69,any,,44,19
69,birth,1,188,155
69,death,,110,106
70,any,,64,64
70,birth,7,289,265
70,death,4,196,199
70,marriage,,6,6
70,residence,,,2
71,any,,24,1
71,birth,2,169,125
71,death,,92,93
71,marriage,,1,4
72,any,,12,28
72,birth,1,131,146
72,death,,72,86
73,any,,84,
73,birth,,220,189
73,death,,148,123
74,any,,20,4
74,birth,2,135,232
74,death,,83,180
74,marriage,,2,2
75,any,,16,21
75,birth,2,376,314
75,death,,341,285
75,marriage,,,2
75,residence,,,2
76,any,,56,7
76,birth,,106,113
76,death,,54,79
76,marriage,,5,
76,residence,,5,
77,any,,14,9
77,birth,,131,126
77,death,,101,88
77,marriage,,6,11
77,residence,,,5
78,any,,71,4
78,birth,,188,135
78,death,,154,102
79,any,,51,7
79,birth,,131,139
79,death,,72,112
79,marriage,,3,
80,any,,176,104
80,birth,8,505,254
80,death,,277,210
80,marriage,,8,5
80,residence,,59,
81,any,,19,1
81,birth,,139,136
81,death,,98,94
82,any,,22,5
82,birth,10,179,132
82,death,,116,85
82,marriage,,3,
82,residence,,11,
83,any,,13,24
83,birth,2,139,216
83,death,,96,166
83,marriage,,,6
83,residence,,,1
84,any,,26,6
84,birth,10,128,111
84,death,,90,77
84,marriage,1,,
84,residence,,,10
85,any,,54,62
85,birth,,315,449
85,death,,224,365
85,marriage,,5,
85,residence,,,54
86,any,,15,6
86,birth,7,91,82
86,death,,72,60
86,marriage,,,3
87,any,,8,18
87,birth,1,102,131
87,death,,69,103
88,any,,59,9
88,birth,29,175,151
88,death,3,139,131
88,marriage,31,3,8
88,residence,,34,
89,any,,57,1
89,birth,,128,109
89,death,,64,81
89,marriage,,,5
90,any,,29,37
90,birth,5,171,260
90,death,,144,230
90,residence,,,8
91,any,,2,3
91,birth,,124,148
91,death,5,100,114
92,any,,9,11
92,birth,2,103,176
92,death,,82,146
92,marriage,,2,3
93,any,,7,2
93,birth,,120,117
93,death,,101,98
93,marriage,,3,
94,any,,6,2
94,birth,1,85,130
94,death,,73,113
94,marriage,,6,6
95,any,,14,1
95,birth,23,551,255
95,death,,446,238
95,marriage,,8,
95,residence,,,1
96,any,,12,17
96,birth,,62,62
96,death,,37,119
96,marriage,,,8
97,any,,13,4
97,birth,,55,92
97,death,1,33,81
97,marriage,,2,3
97,residence,,4,4
98,any,,16,
98,birth,,56,115
98,death,,40,97
99,any,,10,31
99,birth,,155,85
99,death,,139,72
100,any,,259,67
100,birth,348,485,163
100,death,32,355,154
100,marriage,2,,
100,other,21,,
100,residence,10,,4
101,any,,3,
101,birth,1,69,115
101,death,,12,110
101,marriage,,,2
102,any,,10,
102,birth,,71,110
102,death,,32,94
102,marriage,1,,
103,any,,8,
103,birth,1,52,105
103,death,,32,98
104,any,,22,
104,birth,1,48,98
104,death,,28,84
104,marriage,,,3
105,any,,17,1
105,birth,,83,589
105,death,,56,495
105,marriage,,,3
106,any,,5,
106,birth,1,49,68
106,death,,38,43
107,any,,4,
107,birth,,62,53
107,death,,39,38
108,any,,15,
108,birth,,62,57
108,death,,48,50
109,any,,13,
109,birth,,20,21
109,death,,8,13
109,marriage,,1,
110,any,,10,4
110,birth,1,66,61
110,death,,58,56
111,any,,3,
111,birth,2,36,28
111,death,,21,8
112,any,,4,77
112,birth,,26,89
112,death,,23,71
112,residence,,,68
113,any,,4,
113,birth,,29,38
113,death,,14,24
114,any,,2,
114,birth,,24,36
114,death,,24,28
115,any,,1,
115,birth,3,87,93
115,death,,78,66
116,any,,5,
116,birth,4,35,33
116,death,4,24,30
117,any,,6,
117,birth,,30,60
117,death,,25,45
118,any,,13,
118,birth,1,52,30
118,death,,44,22
119,any,,4,3
119,birth,,23,24
119,death,,12,17
120,any,,8,
120,birth,2,58,31
120,death,,37,20
121,any,,7,
121,birth,,20,23
121,death,1,12,17
121,marriage,,,6
122,any,,13,
122,birth,,23,28
122,death,,17,8
123,any,,2,2
123,birth,1,29,26
123,death,,18,20
123,marriage,,,2
124,birth,,31,32
124,death,,20,28
125,any,,9,1
125,birth,9,88,94
125,death,8,63,76
126,any,,7,
126,birth,1,36,59
126,death,,24,48
127,any,,4,
127,birth,,31,30
127,death,,19,24
128,any,,6,
128,birth,,93,47
128,death,,17,39
128,marriage,,6,
129,any,,14,1
129,birth,,27,25
129,death,,20,14
129,marriage,,5,
130,any,,24,4
130,birth,3,137,66
130,death,,50,58
130,marriage,,6,6
131,any,,1,
131,birth,,33,23
131,death,,23,12
132,any,,4,
132,birth,2,11,32
132,death,2,4,23
132,marriage,,,6
133,any,,3,
133,birth,,24,28
133,death,,19,28
134,any,,10,2
134,birth,,15,25
134,death,,8,18
135,any,,2,
135,birth,,70,97
135,death,,46,84
135,marriage,,6,
136,any,,6,
136,birth,,17,21
136,death,,12,18
136,marriage,,1,
137,birth,,13,26
137,death,,6,15
137,marriage,,1,
138,any,,2,
138,birth,1,22,22
138,death,,12,14
139,any,,1,
139,birth,1,13,11
139,death,,10,8
140,any,,16,
140,birth,1,89,81
140,death,,80,66
141,birth,,12,19
141,death,,6,15
142,any,,12,
142,birth,,18,29
142,death,,14,18
143,any,,3,
143,birth,2,16,22
143,death,,8,17
143,marriage,,3,3
143,residence,,3,3
144,any,,1,
144,birth,2,18,12
144,death,2,11,8
145,any,,11,
145,birth,,91,73
145,death,,59,34
145,marriage,,,10
146,any,,1,
146,birth,,29,12
146,death,,22,6
147,any,,3,
147,birth,,8,7
147,death,,6,2
148,any,,2,
148,birth,,42,16
148,death,,16,12
149,any,,1,
149,birth,,46,34
149,death,,39,28
150,any,,31,3
150,birth,5,73,83
150,death,,49,62
150,marriage,,4,
151,any,,9,
151,birth,,26,11
151,death,,18,8
152,any,,13,1
152,birth,1,21,30
152,death,,10,6
152,marriage,,1,
153,any,,5,
153,birth,,30,7
153,death,,22,5
154,any,,8,1
154,birth,,23,19
154,death,,17,14
155,any,,3,
155,birth,4,46,90
155,death,,36,63
156,any,,13,
156,birth,11,32,24
156,death,10,16,18
157,any,,3,
157,birth,,91,22
157,death,,18,14
158,any,,3,
158,birth,,79,17
158,death,,61,6
159,any,,27,
159,birth,1,26,30
159,death,,32,25
160,any,,37,1
160,birth,4,118,90
160,death,2,35,75
160,marriage,,7,4
161,any,,11,
161,birth,1,13,32
161,death,,10,24
162,any,,13,
162,birth,1,18,74
162,death,,10,53
162,marriage,,2,1
162,residence,,2,
163,any,,94,
163,birth,1,40,26
163,death,,114,22
163,marriage,,3,
164,any,,10,
164,birth,3,47,24
164,death,2,30,16
165,any,,18,
165,birth,5,68,68
165,death,,42,54
165,marriage,,21,19
165,residence,,17,16
166,any,,7,1
166,birth,,41,40
166,death,,29,33
166,marriage,,2,5
167,any,,8,
167,birth,25,26,52
167,death,6,14,42
168,any,,7,
168,birth,4,48,38
168,death,2,34,30
168,marriage,,4,
169,any,,13,
169,birth,5,26,32
169,death,4,12,20
169,marriage,,,2
170,any,,33,16
170,birth,16,185,66
170,death,12,156,46
170,marriage,,2,
171,any,,13,
171,birth,15,36,13
171,death,8,21,10
171,marriage,,3,
172,any,,4,
172,birth,10,48,45
172,death,6,23,23
172,marriage,,5,7
173,any,,14,
173,birth,16,43,15
173,death,10,19,4
173,marriage,2,5,
174,any,,20,
174,birth,8,35,32
174,death,2,14,14
174,marriage,,5,
175,any,,12,
175,birth,6,139,37
175,death,2,88,28
175,marriage,,,3
176,any,,11,
176,birth,9,55,22
176,death,4,27,9
176,marriage,2,3,
177,any,,13,
177,birth,17,37,33
177,death,12,13,13
177,marriage,,,5
178,any,,19,
178,birth,13,144,32
178,death,6,88,14
178,marriage,,33,3
179,any,,16,3
179,birth,37,126,39
179,death,7,49,23
179,marriage,10,,
180,any,,83,12
180,birth,21,222,78
180,death,10,120,60
180,marriage,,6,6
180,residence,,2,
181,any,,32,1
181,birth,10,225,60
181,death,,157,40
181,marriage,,14,
182,any,,61,1
182,birth,9,172,121
182,death,,126,77
182,marriage,,7,21
183,any,,44,1
183,birth,21,203,42
183,death,6,101,20
183,marriage,,4,
183,residence,1,,
184,any,,67,
184,birth,19,147,34
184,death,11,73,16
184,marriage,2,,
184,residence,,2,
185,any,,34,3
185,birth,66,332,186
185,death,36,193,116
185,marriage,32,7,12
185,residence,24,,
186,any,,54,3
186,birth,32,232,69
186,death,2,127,33
186,marriage,,19,
186,residence,2,,
187,any,,40,1
187,birth,47,299,100
187,death,12,171,40
187,marriage,14,12,
188,any,,69,1
188,birth,44,331,74
188,death,11,132,45
188,marriage,7,2,
188,residence,,3,
189,any,,76,2
189,birth,30,436,169
189,death,8,133,69
189,marriage,4,6,5
189,residence,,26,
190,any,,111,2
190,birth,39,857,229
190,death,5,383,122
190,marriage,2,10,23
190,residence,,24,
191,any,,44,5
191,birth,21,560,194
191,death,6,175,74
191,marriage,3,2,
192,any,,73,
192,birth,35,402,238
192,death,8,132,81
192,marriage,3,,2
192,residence,,2,
193,any,,71,1
193,birth,36,347,421
193,death,11,182,149
193,marriage,4,2,
193,residence,2,2,
194,any,,71,10
194,birth,18,363,561
194,death,18,221,137
194,marriage,3,7,
194,residence,,2,
195,any,,125,7
195,birth,30,639,659
195,death,2,486,236
195,marriage,3,7,
195,residence,1,,
196,any,,73,4
196,birth,42,230,394
196,death,28,148,106
196,marriage,23,27,21
196,residence,6,26,21
197,any,,54,1
197,birth,49,188,375
197,death,38,159,203
197,marriage,6,1,
198,any,,73,5
198,birth,21,161,222
198,death,18,103,112
198,marriage,2,7,2
198,residence,,8,
199,any,,61,1
199,birth,26,130,221
199,death,15,110,93
199,marriage,8,4,
200,any,,213,34
200,birth,277,221,260
200,death,49,142,140
200,marriage,4,35,
200,residence,,9,
201,any,,49,5
201,birth,10,194,176
201,death,13,143,103
201,marriage,,2,
202,any,,33,7
202,birth,,98,163
202,death,3,87,104
202,marriage,2,,3
203,any,,8,1
203,birth,,111,168
203,death,,92,144
203,marriage,,3,3
204,any,,4,
204,birth,,99,276
204,death,,77,223
204,marriage,,,22
205,any,,19,
205,birth,,101,558
205,death,,82,476
205,marriage,,27,
206,any,,16,
206,birth,,76,111
206,death,,50,116
206,marriage,,21,
207,any,,10,1
207,birth,,52,176
207,death,,26,163
207,marriage,,,3
208,any,,8,
208,birth,,66,83
208,death,,40,74
209,any,,9,
209,birth,,30,78
209,death,,27,72
209,marriage,,,27
210,any,,5,10
210,birth,1,171,177
210,death,,151,151
210,marriage,,18,41
211,any,,4,
211,birth,,42,59
211,death,,38,28
212,any,,6,
212,birth,,80,116
212,death,,67,95
212,marriage,,15,
213,birth,,68,82
213,death,,59,75
213,marriage,,12,
214,any,,5,
214,birth,2,26,101
214,death,,22,81
214,marriage,,2,2
215,any,,8,
215,birth,4,87,108
215,death,,79,92
215,marriage,,12,
215,residence,,3,
216,any,,1,
216,birth,,33,56
216,death,,12,36
216,marriage,,,15
217,any,,4,
217,birth,,69,74
217,death,,51,55
217,marriage,,13,12
218,any,,3,
218,birth,,131,27
218,death,,85,22
219,any,,3,
219,birth,1,18,37
219,death,,12,36
219,marriage,,,12
220,any,,22,1
220,birth,2,35,54
220,death,,18,30
221,birth,,22,65
221,death,,14,47
221,marriage,,,13
222,any,,1,
222,birth,,26,127
222,death,,14,74
223,any,,1,
223,birth,3,49,34
223,death,,33,31
223,marriage,,15,
224,birth,,15,33
224,death,,6,28
225,any,,19,1
225,birth,1,30,57
225,death,,14,47
226,birth,,19,31
226,death,,12,20
227,any,,2,
227,birth,,9,81
227,death,,2,59
227,marriage,,,15
228,any,,6,
228,birth,,64,58
228,death,,29,47
228,marriage,,5,
229,birth,,9,25
229,death,,8,16
229,marriage,,1,
230,any,,4,1
230,birth,1,57,48
230,death,,40,24
231,any,,2,1
231,birth,,8,17
231,death,,8,12
232,any,,1,1
232,birth,,11,97
232,death,,8,57
232,marriage,,,5
233,birth,,37,11
233,death,,23,8
233,marriage,,3,1
234,any,,2,
234,birth,,8,10
234,death,,4,6
234,marriage,1,,
235,any,,12,6
235,birth,,34,23
235,death,,26,18
236,any,,1,
236,birth,,15,10
236,death,,10,8
237,birth,3,7,43
237,death,,2,26
237,marriage,,,6
238,any,,3,
238,birth,1,99,11
238,death,,51,5
238,marriage,,13,5
239,any,,1,
239,birth,,12,22
239,death,,9,19
239,marriage,,3,3
240,any,,3,
240,birth,5,135,75
240,death,,58,60
240,marriage,,18,6
241,birth,3,13,13
241,death,2,8,12
242,birth,,11,104
242,death,,6,56
242,marriage,,,8
243,birth,1,66,10
243,death,,34,4
243,marriage,,16,
244,birth,,17,29
244,death,,14,26
244,marriage,,6,18
245,any,,14,3
245,birth,1,60,31
245,death,,44,18
246,any,,4,
246,birth,,30,19
246,death,,23,12
246,marriage,,14,
247,any,,2,
247,birth,,9,73
247,death,,4,34
247,marriage,,,18
248,any,,8,
248,birth,,107,14
248,death,,94,6
248,marriage,,32,
249,birth,,12,14
249,death,,8,8
250,any,,22,7
250,birth,1,61,70
250,death,,26,40
250,marriage,,,14
251,birth,160,21,4
251,death,,18,2
252,any,,3,10
252,birth,,6,122
252,death,,2,106
252,marriage,,,36
253,any,,9,1
253,birth,,44,24
253,death,,24,18
253,marriage,,4,
254,birth,,17,11
254,death,,10,5
254,marriage,,,3
255,birth,,12,61
255,death,,1,40
256,any,,1,
256,birth,,18,12
256,death,,9,13
256,marriage,,3,
257,birth,,23,30
257,death,,20,7
257,marriage,,18,6
258,any,,3,
258,birth,,81,17
258,death,,38,11
258,marriage,,14,3
259,any,,6,
259,birth,2,13,6
259,death,,6,4
260,any,,3,2
260,birth,2,37,58
260,death,,27,45
260,marriage,,3,15
261,any,,1,
261,birth,1,10,37
261,death,,2,35
261,marriage,1,,21
262,any,,1,
262,birth,,25,87
262,death,,18,45
262,marriage,,8,17
263,any,,3,
263,birth,1,51,20
263,death,,20,14
263,marriage,,16,
264,any,,1,
264,birth,1,14,15
264,death,,6,10
265,any,,6,
265,birth,1,42,22
265,death,,26,13
266,any,,2,
266,birth,,20,25
266,death,,14,18
266,marriage,,,2
267,any,,1,
267,birth,2,27,57
267,death,,6,22
267,marriage,,10,20
268,birth,,74,22
268,death,,47,8
268,marriage,,17,
269,birth,,16,14
269,death,,10,2
270,any,,11,1
270,birth,1,62,46
270,death,,51,35
270,marriage,,21,
271,any,,1,
271,birth,,31,27
271,death,,20,4
271,marriage,,,14
272,any,,12,
272,birth,4,17,93
272,death,,15,63
272,marriage,,3,25
273,any,,1,1
273,birth,,59,6
273,death,,37,
273,marriage,,27,
274,any,,2,1
274,birth,,47,87
274,death,,36,73
274,marriage,,18,39
275,any,,9,
275,birth,,183,81
275,death,,166,64
275,marriage,,20,20
276,birth,1,13,9
276,death,,8,6
277,birth,,13,81
277,death,,15,52
277,marriage,,,33
278,birth,,49,12
278,death,,28,4
279,any,,1,
279,birth,,22,14
279,death,,22,12
280,any,,6,
280,birth,,22,27
280,death,,16,18
281,birth,,20,13
281,death,,12,10
281,marriage,,14,
282,birth,,10,61
282,death,,6,40
282,marriage,,,2
283,birth,,72,29
283,death,,52,26
283,marriage,,12,
284,birth,,15,10
284,death,,12,6
285,any,,2,1
285,birth,1,37,48
285,death,,18,34
285,marriage,,,14
286,any,,1,
286,birth,,48,10
286,death,,43,6
286,marriage,,15,
287,birth,,34,89
287,death,,30,69
287,marriage,,,15
288,any,,2,
288,birth,,70,8
288,death,,50,4
289,birth,2,19,31
289,death,,12,16
290,any,,3,
290,birth,,68,66
290,death,,57,57
290,marriage,,15,15
291,any,,3,
291,birth,,25,26
291,death,,21,22
291,marriage,,9,
292,birth,,12,70
292,death,,10,48
293,any,,1,
293,birth,,69,15
293,death,,36,2
294,birth,,3,30
294,death,,,27
294,marriage,,,15
295,any,,11,
295,birth,1,132,57
295,death,,102,52
295,marriage,,,12
296,any,,1,
296,birth,,48,16
296,death,,35,8
296,marriage,,15,
297,birth,,21,83
297,death,,11,42
297,marriage,,2,
298,birth,,123,17
298,death,,88,12
298,marriage,,9,
299,any,,3,2
299,birth,,37,14
299,death,,28,8
299,marriage,,6,6
300,any,,67,24
300,birth,270,362,107
300,death,7,337,85
300,marriage,,,15
301,any,,3,
301,birth,,59,17
301,death,,32,2
301,marriage,,8,10
302,any,,3,
302,birth,1,31,141
302,death,,12,101
302,marriage,,,17
303,any,,10,
303,birth,1,19,17
303,death,,11,10
304,any,,1,
304,birth,,55,63
304,death,,43,53
304,marriage,,15,
305,any,,9,
305,birth,4,51,152
305,death,4,33,110
306,any,,29,1
306,birth,,55,31
306,death,,16,17
306,marriage,,27,3
307,any,,2,
307,birth,,25,24
307,death,,15,8
307,marriage,,3,3
308,any,,2,
308,birth,,75,52
308,death,,45,42
308,marriage,,3,21
309,any,,2,
309,birth,,22,49
309,death,,16,38
310,any,,17,2
310,birth,2,35,41
310,death,,16,31
311,any,,10,
311,birth,,25,27
311,death,,22,18
312,any,,10,
312,birth,1,62,100
312,death,,8,64
312,marriage,,14,6
313,any,,2,
313,birth,,21,17
313,death,,12,13
314,any,,4,
314,birth,1,29,30
314,death,,26,16
315,any,,3,
315,birth,1,79,66
315,death,,68,57
315,marriage,1,,
316,birth,,21,41
316,death,,16,11
316,marriage,,,20
317,any,,4,
317,birth,,24,49
317,death,,20,32
318,any,,4,
318,birth,,119,24
318,death,,108,16
318,marriage,,18,
319,birth,,38,64
319,death,,35,59
319,marriage,,21,3
320,any,,16,1
320,birth,4,82,80
320,death,4,68,60
320,marriage,,12,12
321,birth,,15,18
321,death,,6,12
322,any,,2,
322,birth,,13,106
322,death,,8,90
322,marriage,,,24
323,any,,1,
323,birth,,79,52
323,death,,56,42
323,marriage,,2,32
324,any,,3,
324,birth,,13,49
324,death,,10,46
325,any,,4,
325,birth,1,50,43
325,death,,37,25
325,marriage,,2,3
326,any,,1,
326,birth,,42,28
326,death,,38,17
326,marriage,,30,9
327,any,,6,3
327,birth,,27,81
327,death,,22,68
328,any,,6,
328,birth,,85,66
328,death,,64,62
329,birth,,407,44
329,death,,404,38
329,marriage,,,2
330,any,,18,1
330,birth,2,38,58
330,death,,35,53
330,marriage,,3,27
331,any,,6,
331,birth,,10,23
331,death,,8,18
332,birth,,159,91
332,death,,159,66
333,birth,,22,26
333,death,,20,18
333,marriage,,6,
334,birth,,17,28
334,death,,14,26
335,any,,3,
335,birth,3,60,26
335,death,3,55,19
335,marriage,3,21,3
336,birth,,20,39
336,death,,14,32
337,any,,2,2
337,birth,,24,39
337,death,,26,39
337,marriage,,3,9
338,any,,1,
338,birth,,77,38
338,death,,47,34
338,marriage,,21,
339,birth,,12,33
339,death,,10,30
339,marriage,,,18
340,any,,7,1
340,birth,9,218,74
340,death,10,211,61
340,marriage,,29,5
341,birth,,11,17
341,death,,10,16
341,marriage,,6,6
342,birth,,26,103
342,death,,24,75
342,marriage,,,30
343,birth,,80,28
343,death,,67,22
343,marriage,,24,
344,birth,,20,45
344,death,,20,44
344,marriage,,6,30
345,any,,9,2
345,birth,2,77,38
345,death,,52,34
345,marriage,,15,
346,any,,7,
346,birth,,3,12
346,death,,2,7
346,marriage,,,3
347,any,,5,
347,birth,5,67,97
347,death,,62,87
347,marriage,,,24
348,birth,1,134,13
348,death,,96,13
348,marriage,,18,3
349,any,,1,1
349,birth,1,53,39
349,death,,44,26
349,marriage,,4,18
350,any,,17,
350,birth,,427,40
350,death,,405,29
350,marriage,,9,3
351,any,,1,
351,birth,,70,32
351,death,,54,28
352,any,,1,
352,birth,,4,150
352,death,,4,112
352,marriage,,,18
353,birth,,37,83
353,death,,29,74
353,marriage,,3,6
354,any,,7,
354,birth,,28,29
354,death,,24,22
354,marriage,,,6
355,any,,1,
355,birth,,37,64
355,death,,32,48
356,any,,15,2
356,birth,2,20,15
356,death,2,17,14
357,any,,1,
357,birth,,64,34
357,death,,45,23
357,marriage,,27,15
358,birth,6,202,39
358,death,6,165,40
358,marriage,,61,6
359,birth,1,6,25
359,death,,7,20
360,any,,8,3
360,birth,7,77,82
360,death,6,60,64
360,marriage,,12,12
361,birth,3,145,124
361,death,,143,99
361,marriage,,,30
362,birth,1,3,168
362,death,,4,132
362,marriage,,,58
363,any,,1,1
363,birth,4,49,14
363,death,,39,12
363,marriage,,3,
364,any,,3,
364,birth,,8,10
364,death,,,2
365,any,,8,
365,birth,1,104,67
365,death,,91,61
365,marriage,,36,6
366,birth,,16,20
366,death,,8,19
367,any,,7,
367,birth,,12,55
367,death,,4,46
367,marriage,,4,6
368,birth,1,113,25
368,death,,89,16
368,marriage,,57,
369,any,,2,
369,birth,,17,59
369,death,,8,53
369,marriage,,,30
370,any,,18,2
370,birth,4,87,96
370,death,3,78,82
370,marriage,4,13,13
370,residence,,3,3
371,birth,2,2,10
371,death,,,2
371,marriage,,,6
372,any,,1,
372,birth,,37,140
372,death,,15,113
372,marriage,,23,71
373,any,,1,
373,birth,1,23,10
373,death,,9,2
373,marriage,,3,
374,birth,,25,24
374,death,,22,21
374,marriage,,12,3
375,any,,6,
375,birth,2,102,66
375,death,,86,52
375,marriage,,28,4
376,birth,,24,34
376,death,,19,11
376,marriage,,,21
377,birth,2,58,46
377,death,,51,31
377,marriage,,2,15
378,any,,9,2
378,birth,,43,26
378,death,,26,25
378,marriage,,2,9
379,birth,,53,63
379,death,,48,60
379,marriage,,24,24
380,any,,8,4
380,birth,5,61,49
380,death,4,51,44
380,marriage,,6,6
381,any,,1,
381,birth,,20,55
381,death,,18,47
381,marriage,,3,7
382,any,,1,
382,birth,,102,48
382,death,,165,34
