year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
73,death,66,,
74,any,,31,4
74,birth,74,34,4
74,death,65,24,
75,any,,15,50
75,birth,167,15,45
75,death,147,9,45
75,marriage,,3,11
76,any,,1,1
76,birth,97,4,
76,death,78,,
77,any,,3,10
77,birth,43,3,11
77,death,34,,6
78,any,,6,8
78,birth,107,16,
78,death,93,4,
78,marriage,,9,
79,any,,3,3
79,birth,65,14,
79,death,52,,
80,any,,21,32
80,birth,267,18,14
80,death,247,,18
81,any,,6,3
81,birth,40,5,
81,death,38,,
82,any,,4,3
82,birth,66,15,8
82,death,58,,5
82,marriage,,,4
83,any,,3,6
83,birth,73,13,9
83,death,66,,11
83,marriage,,,10
84,any,,8,6
84,birth,63,10,
84,death,57,,11
85,any,,,4
85,birth,167,23,4
85,death,161,4,5
85,marriage,,3,
86,any,,20,
86,birth,88,7,
86,death,83,,
87,any,,4,2
87,birth,65,7,4
87,death,62,,6
88,any,,,18
88,birth,62,10,
88,death,54,,4
89,any,,2,
89,birth,75,14,10
89,death,68,,9
89,marriage,,,3
90,any,,7,24
90,birth,176,17,12
90,death,176,6,
90,marriage,,7,6
91,any,,11,
91,birth,35,11,4
91,death,47,2,
91,marriage,,,4
92,any,,4,1
92,birth,50,7,3
92,death,48,,3
92,marriage,,,3
93,any,,5,2
93,birth,70,9,2
93,death,58,,2
93,marriage,,,2
94,any,,7,
94,birth,45,1,3
94,death,44,,3
94,marriage,,,5
95,any,,10,6
95,birth,92,12,2
95,death,89,1,3
96,any,,3,
96,birth,80,7,
96,death,79,,
97,any,,13,18
97,birth,61,8,
97,death,61,,14
97,marriage,,,8
97,residence,,,14
98,any,,3,10
98,birth,71,5,2
98,death,69,,5
98,marriage,,,2
99,any,,16,5
99,birth,56,1,23
99,death,52,16,5
100,any,,60,16
100,birth,493,9,5
100,death,370,2,
100,marriage,21,1,
100,other,10,,
100,residence,9,,
101,any,,7,
101,birth,17,4,
101,death,13,2,
102,any,,11,11
102,birth,28,7,4
102,death,24,,2
103,any,,15,
103,birth,23,12,
103,death,20,,
104,any,,2,
104,birth,8,,
104,death,6,,
105,any,,9,
105,birth,29,6,4
105,death,28,,4
106,any,,2,
106,birth,10,1,
106,death,8,,
107,any,,2,
107,birth,24,1,
107,death,18,,
108,any,,7,
108,birth,20,4,
108,death,12,,
109,any,,7,
109,birth,23,,
109,death,18,,
110,any,,2,1
110,birth,34,16,2
110,death,28,,
110,marriage,,12,
110,residence,,2,
111,birth,19,2,
111,death,18,,
112,any,,1,
112,birth,37,2,
112,death,35,2,
113,any,,1,
113,birth,14,3,
113,death,12,,
113,marriage,,1,
114,birth,9,,
114,death,8,,
115,any,,1,
115,birth,15,2,2
115,death,14,,
116,any,,8,
116,birth,4,,2
116,death,2,,2
117,birth,4,,
117,death,2,,
118,birth,4,,
118,death,2,,
119,birth,10,1,
119,death,10,,
120,any,,10,1
120,birth,49,5,2
120,death,40,,2
121,any,,1,
121,birth,16,1,
121,death,12,,
122,any,,2,
122,birth,10,18,
122,death,9,18,
123,any,,3,
123,birth,26,5,2
123,death,24,2,2
124,any,,2,
124,birth,4,3,
124,death,2,,
125,any,,4,2
125,birth,26,1,
125,death,22,,
126,any,,3,
126,birth,2,3,
126,death,2,2,
127,any,,2,
127,birth,8,5,1
127,death,8,,
128,any,,3,
128,birth,16,1,
128,death,16,,
129,any,,11,
129,birth,7,4,
129,death,6,8,
129,marriage,,3,
130,any,,31,7
130,birth,34,19,4
130,death,30,,2
130,marriage,,2,
130,residence,,6,
131,any,,1,
131,birth,6,1,1
131,death,6,,
132,birth,11,7,
132,death,11,6,
132,marriage,,6,
133,any,,9,
133,birth,8,2,
133,death,8,2,
134,any,,4,
134,birth,10,5,
134,death,10,,
134,marriage,,4,
135,any,,7,
135,birth,26,5,
135,death,24,,
136,any,,7,
136,birth,11,,1
136,death,10,,
137,any,,2,
137,birth,6,5,
137,death,4,2,
138,any,,2,
138,birth,8,3,
138,death,7,3,
138,marriage,,3,
139,any,,1,
139,birth,8,,2
139,death,8,,
139,marriage,,,2
140,any,,8,1
140,birth,28,2,2
140,death,22,,1
140,marriage,,,2
141,birth,1,,4
141,death,,,2
142,any,,1,
142,birth,2,,
142,death,2,,
143,any,,8,
143,birth,,2,
143,marriage,,6,
144,any,,1,
144,birth,4,,
144,death,4,,
145,any,,13,
145,birth,21,1,
145,death,18,,
146,any,,5,
146,birth,3,1,
146,death,2,,
147,any,,5,
147,birth,4,2,
147,marriage,,2,
148,any,,10,
148,birth,2,8,
148,death,2,,
148,marriage,,3,
149,birth,12,,
149,death,8,,
150,any,,58,4
150,birth,53,20,
150,death,43,12,
150,marriage,,4,
150,residence,,1,
151,any,,6,
151,birth,8,,
151,death,6,,
151,marriage,,1,
152,birth,2,,
152,death,2,,
152,residence,,1,
153,any,,3,
153,birth,5,3,3
153,death,4,,3
153,marriage,,,3
154,any,,3,
154,birth,12,,
154,death,10,2,
155,any,,12,
155,birth,15,2,
155,death,12,,
155,marriage,,9,
156,any,,3,
156,birth,8,,
156,death,6,,
157,any,,11,
157,birth,4,10,
157,death,2,,
158,any,,10,
158,birth,10,,4
158,death,10,,2
158,marriage,,,2
159,any,,2,
159,birth,12,3,
159,death,12,,
160,any,,30,10
160,birth,16,15,
160,death,17,7,
160,marriage,,1,10
160,residence,,3,6
161,any,,2,
161,birth,5,1,
161,death,4,,
162,any,,4,
162,birth,10,6,
162,death,8,,
162,marriage,,,1
163,any,,2,
163,birth,16,2,2
163,death,12,,2
164,any,,7,
164,birth,13,1,1
164,death,10,,
164,residence,,1,
165,any,,7,1
165,birth,8,10,
165,death,5,2,
165,marriage,,2,
166,any,,6,
166,birth,4,6,2
166,death,4,,
166,marriage,,2,
167,any,,2,
167,birth,4,11,4
167,death,4,6,4
167,marriage,,2,
168,any,,3,1
168,birth,4,4,3
168,death,2,,2
168,marriage,,2,
169,any,,3,1
169,birth,16,9,2
169,death,10,6,
169,marriage,,3,2
170,any,,59,14
170,birth,10,28,5
170,death,8,24,
170,marriage,,9,
171,any,,8,
171,birth,5,3,10
171,death,5,5,10
171,marriage,,1,
172,any,,8,1
172,birth,2,10,
172,death,,3,
172,marriage,,5,
173,any,,5,
173,birth,7,8,3
173,death,6,2,3
173,marriage,,,3
174,any,,7,
174,birth,4,14,
174,death,4,11,
174,marriage,,3,
175,any,,19,
175,birth,11,6,11
175,death,6,7,11
175,marriage,,4,3
176,any,,10,
176,birth,7,9,5
176,death,4,2,
176,marriage,,6,4
177,any,,12,
177,birth,10,6,7
177,death,8,6,3
177,marriage,,2,3
178,any,,22,1
178,birth,11,13,11
178,death,6,4,4
178,marriage,,,4
179,any,,40,5
179,birth,8,21,
179,death,2,3,
179,marriage,,10,
180,any,,113,4
180,birth,73,71,10
180,death,53,19,1
180,marriage,,23,4
180,other,,4,
180,residence,,12,1
181,any,,20,2
181,birth,13,48,12
181,death,6,10,4
181,marriage,,9,
181,other,,,4
181,residence,,10,
182,any,,80,9
182,birth,9,33,19
182,death,6,9,13
182,marriage,,30,
182,residence,,9,8
183,any,,38,13
183,birth,21,46,23
183,death,16,10,5
183,marriage,,30,13
183,residence,,2,
184,any,,81,
184,birth,35,83,35
184,death,28,60,24
184,marriage,,25,30
184,other,,10,
184,residence,,7,
185,any,,124,1
185,birth,46,99,19
185,death,29,48,9
185,marriage,,40,9
185,other,,2,14
185,residence,,5,
186,any,,40,9
186,birth,49,59,31
186,death,27,16,18
186,marriage,,16,25
186,other,,2,
186,residence,,4,
187,any,,79,15
187,birth,28,84,21
187,death,17,22,4
187,marriage,,24,8
187,other,,4,14
187,residence,,2,2
188,any,,107,1
188,birth,71,134,31
188,death,48,45,25
188,marriage,,31,7
188,other,,6,4
188,residence,,46,
189,any,,73,9
189,birth,39,67,87
189,death,34,29,67
189,marriage,,16,22
189,residence,,4,
190,any,,140,18
190,birth,123,165,79
190,death,103,108,61
190,marriage,,51,11
190,other,,8,
190,residence,,27,
191,any,,70,19
191,birth,56,94,66
191,death,42,80,26
191,marriage,,32,18
191,residence,,14,
192,any,,51,1
192,birth,81,68,63
192,death,62,26,38
192,marriage,,15,15
192,residence,,18,
193,any,,67,7
193,birth,59,93,53
193,death,45,53,41
193,marriage,,58,36
193,residence,,,2
194,any,,66,14
194,birth,69,61,103
194,death,39,51,94
194,marriage,,37,49
194,residence,,6,
195,any,,67,9
195,birth,107,61,74
195,death,73,61,68
195,marriage,,19,34
195,residence,,2,
196,any,,47,14
196,birth,74,62,102
196,death,61,37,19
196,marriage,,15,20
197,any,,37,20
197,birth,57,42,161
197,death,45,33,105
197,marriage,,6,104
197,other,,,3
197,residence,,4,
198,any,,38,52
198,birth,82,58,99
198,death,68,34,91
198,marriage,,14,37
198,residence,,2,
199,any,,55,9
199,birth,131,38,88
199,death,112,40,77
199,marriage,,6,32
199,residence,,,4
200,any,,73,15
200,birth,353,37,37
200,death,312,51,32
200,marriage,9,19,19
200,other,,,8
201,any,,10,27
201,birth,55,15,78
201,death,57,9,78
202,any,,12,3
202,birth,75,9,48
202,death,77,5,43
202,marriage,,,18
202,residence,,1,
203,any,,1,15
203,birth,32,25,34
203,death,34,24,32
203,marriage,,,4
203,residence,,,6
204,any,,3,
204,birth,30,,29
204,death,30,,33
204,marriage,,,25
205,any,,11,
205,birth,41,4,
205,death,36,11,
205,marriage,,3,
206,any,,2,
206,birth,29,1,
206,death,22,,
206,marriage,,1,
207,birth,56,,4
207,death,56,2,4
208,any,,14,
208,birth,49,5,
208,death,50,,
208,marriage,,2,
209,any,,4,1
209,birth,46,2,3
209,death,41,1,3
209,marriage,,2,3
210,any,,7,
210,birth,45,4,
210,death,40,,
211,any,,5,
211,birth,10,,
211,death,7,,
212,any,,1,
212,birth,17,,
212,death,17,,
213,any,,2,
213,birth,19,,1
213,death,16,2,
214,birth,6,,1
214,death,7,,
215,birth,10,,
215,death,10,,
216,any,,2,
216,birth,12,,
216,death,10,,
217,any,,3,
217,birth,19,,
217,death,18,,
218,any,,2,
218,birth,17,,
218,death,19,2,
219,any,,1,
219,birth,8,2,
219,death,9,2,
220,any,,7,2
220,birth,33,6,
220,death,31,6,
221,any,,2,4
221,birth,8,,
221,death,10,,
222,any,,1,
222,birth,29,,
222,death,26,,
223,any,,1,
223,birth,19,,
223,death,19,1,
224,birth,12,,
224,death,10,,
225,birth,3,,
226,birth,2,,
226,death,2,,
227,any,,1,
227,birth,8,,
227,death,8,,
228,birth,3,,
228,death,2,,
229,birth,5,,
229,death,4,,
230,birth,3,,
233,birth,2,2,
233,death,2,2,
234,any,,2,
234,birth,2,,
234,death,2,2,
235,birth,16,4,
235,death,14,4,
236,birth,6,,
236,death,6,,
237,birth,2,,2
237,death,2,,2
238,any,,,4
238,birth,3,1,
238,death,2,,
239,birth,4,,4
239,death,4,,4
240,any,,4,
240,birth,5,,
240,death,4,,
241,birth,5,,
241,death,4,,
242,birth,2,,1
244,birth,4,,
244,death,4,,
245,birth,11,,
245,death,10,,
246,birth,1,,
247,birth,2,,
247,death,2,,
248,birth,,2,
248,death,,2,
249,birth,2,,
249,death,2,,
250,any,,,2
250,birth,23,1,
250,death,18,,
251,birth,2,,
251,death,5,,
252,birth,4,,2
252,death,4,,2
253,birth,4,,
253,death,4,,
255,birth,9,,
255,death,6,,
256,birth,10,,
256,death,10,,
258,birth,13,,
258,death,12,,
259,birth,10,,
259,death,10,,
260,birth,4,,
261,birth,1,,
262,birth,,,3
262,death,,,3
262,marriage,,,3
263,birth,1,,
264,birth,3,,
264,death,2,,
265,birth,5,,
265,death,4,,
266,birth,2,,
268,marriage,,1,
269,birth,4,1,
269,death,4,,
270,birth,20,,
270,death,18,,
271,birth,2,,
271,death,2,,
272,birth,8,,
272,death,4,,
272,marriage,,,1
273,birth,1,,
274,birth,7,,
274,death,6,,
275,birth,1,,
276,birth,2,1,
276,death,2,,
278,birth,1,,
279,birth,1,8,
279,death,,8,
280,birth,15,,
280,death,12,,
281,birth,4,1,
281,death,4,,
282,birth,4,,
282,death,4,,
283,birth,3,,8
283,death,2,,8
285,birth,6,,
285,death,4,,
287,birth,2,,
287,death,2,,
288,birth,7,,
288,death,2,,
289,any,,,1
289,birth,12,,
289,death,12,,
290,birth,10,1,1
290,death,10,,
291,birth,4,,3
291,death,2,,3
291,marriage,,,3
293,birth,6,2,
293,death,4,2,
294,birth,2,,
294,death,2,,
295,birth,11,,
295,death,8,,
296,birth,1,,
300,any,,5,2
300,birth,57,1,3
300,death,44,,3
300,marriage,,,3
301,birth,12,2,
301,death,10,2,
302,any,,1,
302,birth,7,,
302,death,5,,
303,any,,2,
303,birth,3,,
303,death,2,,
304,birth,10,,
304,death,8,,
305,any,,1,
305,birth,4,,2
305,death,4,,2
306,birth,14,3,
306,death,10,,
307,birth,9,,1
307,death,8,,
308,any,,2,
308,birth,4,,
308,death,7,,
309,birth,5,1,
309,death,2,,
310,any,,1,
310,birth,20,,2
310,death,16,,
311,birth,13,,
311,death,6,,
312,any,,1,
312,birth,13,,
312,death,8,,
313,birth,12,,
313,death,8,,
314,birth,4,,
314,death,4,,
315,any,,1,
315,birth,11,2,
315,death,8,2,
316,birth,7,,3
316,death,6,,3
316,marriage,,1,3
317,birth,1,,
318,any,,2,
318,birth,2,,
318,death,2,,
319,birth,14,1,2
319,death,14,,2
320,birth,10,,
320,death,6,,
320,marriage,,,1
321,birth,6,,
321,death,6,,
322,birth,4,,
322,death,6,,
322,marriage,,2,
323,birth,29,4,
323,death,29,,
325,any,,,1
325,birth,4,1,
325,death,4,,
326,birth,2,,
326,death,2,,
326,marriage,,,2
327,birth,2,6,2
327,death,2,6,2
328,birth,2,,
329,any,,2,
329,birth,2,,
329,death,2,,
329,marriage,,,1
330,any,,2,
330,birth,2,,
330,death,2,,
331,birth,10,,10
331,death,8,,10
332,birth,2,,
332,death,2,,
333,birth,11,,
333,death,11,,
335,birth,2,,
335,death,2,,
336,birth,8,,
336,death,8,,
337,birth,8,,
337,death,8,,
337,marriage,,1,
338,birth,2,2,
338,death,2,,
339,birth,,,3
339,death,,,3
339,marriage,,,3
340,any,,2,
340,birth,8,1,
340,death,8,,
341,birth,1,,
341,marriage,,,2
342,birth,4,,
342,death,4,,
343,birth,2,,
343,death,2,,
344,birth,1,,
345,birth,6,,
345,death,6,,
346,birth,2,,
346,death,2,,
346,marriage,,,1
