year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
554,any,,,1
554,birth,1,,
555,birth,16,,
555,death,14,,
556,birth,3,,
556,death,2,,
557,birth,4,,
557,death,4,,
558,birth,10,,
558,death,8,,
559,birth,7,1,3
559,death,6,,3
559,marriage,,,3
560,any,,2,
560,birth,2,,
561,birth,2,,
561,death,2,,
562,birth,4,,
562,death,4,,
563,birth,5,3,
563,death,2,,
564,any,,2,
564,birth,8,,
564,death,8,,
565,any,,1,
565,birth,4,,
565,death,4,,
566,birth,5,9,
566,death,4,9,
566,marriage,,9,
567,birth,4,,16
567,death,4,,
568,birth,11,,
568,death,6,,
569,birth,3,,
570,birth,23,2,9
570,death,20,,9
570,marriage,,,9
571,birth,24,3,
571,death,23,,
572,birth,2,,
574,birth,6,,
574,death,4,,
575,birth,3,,
575,death,3,,
576,birth,5,2,
576,death,4,,
577,birth,11,1,
577,death,6,,
578,birth,6,2,
578,death,4,,
579,birth,7,,
579,death,7,,
580,any,,4,3
580,birth,5,,
580,death,4,,2
582,birth,4,,2
584,birth,6,9,7
584,death,2,9,7
584,marriage,,9,3
585,any,,,1
585,birth,5,,
585,death,4,,
586,birth,4,,
586,death,4,,
587,birth,2,,
587,death,2,,
588,birth,,,9
588,death,1,,9
588,marriage,,,9
589,birth,1,,
590,any,,1,
590,birth,3,,
590,death,2,,
591,any,,4,
591,birth,,2,
592,any,,1,
592,birth,4,,3
592,death,4,,3
592,marriage,,,3
593,birth,1,,
595,any,,1,
595,birth,1,,
596,birth,11,,
596,death,10,,
597,birth,1,,
598,birth,2,,
598,death,2,,
599,birth,5,,
599,death,4,,
600,any,,18,1
600,birth,48,7,
600,death,13,2,
600,other,2,,
601,birth,2,,
602,any,,1,
602,birth,8,,
602,death,4,,
603,birth,8,,
603,death,2,,
604,any,,2,
604,birth,9,,3
604,death,8,,3
604,marriage,,,3
605,any,,1,
605,birth,4,3,
605,death,4,,
606,any,,1,
606,birth,14,1,
606,death,12,,
607,birth,12,1,
607,death,8,,
607,marriage,,,1
608,birth,5,2,
608,death,4,,
608,marriage,,2,
609,birth,8,6,3
609,death,6,6,
609,marriage,,6,
610,any,,2,2
610,birth,10,1,
610,death,7,,
611,birth,13,,9
611,death,8,,
612,any,,2,
612,birth,2,2,2
612,death,2,,
612,marriage,,,2
613,birth,6,2,6
613,death,6,2,6
613,marriage,,,6
614,birth,4,,
614,death,4,,
615,birth,3,,
616,any,,2,
616,birth,9,,
616,death,8,,
617,birth,,5,2
617,death,,4,2
618,any,,1,
618,birth,,,3
619,birth,6,,
619,death,6,,
620,birth,11,1,3
620,death,10,,3
620,marriage,,,3
621,birth,15,,6
621,death,10,,4
622,any,,8,
622,birth,1,,
623,any,,,8
623,birth,8,,
623,death,6,,
626,any,,2,
626,birth,1,,
627,birth,4,,
627,death,4,,
627,marriage,,1,
629,birth,5,,
629,death,2,,
630,any,,2,
630,birth,13,,
630,death,12,,
631,marriage,,,1
632,any,,7,4
632,birth,34,1,
632,death,34,,
633,birth,6,,
633,death,6,,
634,birth,4,,
634,death,4,,
635,birth,9,,
635,death,8,,
636,birth,2,2,
636,death,2,2,
638,birth,2,,
638,death,2,,
639,birth,2,,
639,death,2,,
640,birth,14,,2
640,death,14,,2
642,birth,,,4
642,death,,,4
643,any,,,1
645,birth,4,,
645,death,4,,
646,birth,8,,
646,death,8,,
648,birth,4,,
648,death,4,,
649,birth,6,,
649,death,6,,
650,any,,12,2
650,birth,8,,
650,death,6,,
651,birth,,1,
652,birth,4,1,
652,death,2,,
653,birth,1,,
654,any,,1,
655,birth,1,1,
655,death,1,,
656,birth,,,2
657,birth,2,7,
657,death,2,6,
657,marriage,,6,
658,birth,,6,
658,death,,6,
658,marriage,,6,
659,birth,3,,
659,death,2,,
660,any,,,2
660,birth,4,,
660,death,2,,2
661,birth,6,,6
661,death,6,,6
661,marriage,,,6
662,birth,,,6
662,death,1,,6
662,marriage,,,6
665,birth,4,,
665,death,4,,
666,any,,2,
666,birth,17,,
666,death,16,,
667,birth,2,,
667,death,2,,
668,birth,5,,
668,death,2,,
669,birth,2,,
669,death,2,,
670,birth,3,,
673,birth,4,,
673,death,2,,
674,birth,1,,
675,birth,2,,
675,death,2,,
676,any,,1,
676,birth,5,,
676,death,2,,
677,any,,,1
677,birth,2,,
678,any,,,1
678,birth,3,4,
678,death,2,4,
679,birth,1,,
680,birth,3,,
680,death,3,,
681,birth,1,,
682,any,,2,
682,birth,2,,4
682,death,,,4
682,marriage,,2,
683,birth,2,,
684,birth,2,,
685,any,,4,
685,birth,1,,
686,birth,2,,
686,death,2,,
687,birth,3,2,
687,death,2,2,
688,birth,4,,
688,death,2,,
689,birth,12,,
689,death,10,,
690,birth,2,,
690,death,2,,
691,birth,3,,2
691,death,2,,2
692,birth,1,,
694,birth,3,,
694,death,2,,
695,any,,1,
695,birth,10,,
695,death,10,,
696,birth,2,,
696,death,2,,
697,birth,4,1,
697,death,4,,
698,birth,,,3
698,death,,,3
698,marriage,,,3
699,any,,2,
699,birth,2,,
699,death,2,,
700,any,,46,1
700,birth,129,59,
700,death,43,,
700,marriage,2,59,
700,other,2,,
700,residence,,59,
701,birth,6,1,1
701,death,6,,
702,any,,1,
702,birth,15,1,
702,death,10,,
703,birth,4,,
703,death,5,,
704,birth,10,,
704,death,8,,
705,any,,1,
705,birth,6,1,
705,death,4,,
706,any,,1,
706,birth,7,,
706,death,4,,
706,marriage,,,1
707,birth,9,,
707,death,4,,
708,birth,5,2,
708,death,4,2,
709,birth,17,,
709,death,14,,4
709,marriage,,,4
710,birth,10,,
710,death,9,,
711,birth,10,,
711,death,8,,
712,any,,4,
712,birth,3,,2
712,death,2,,2
713,any,,1,
713,birth,8,3,
713,death,4,,
714,birth,12,,
714,death,6,,
715,any,,3,
715,birth,5,,
716,birth,2,,
716,death,1,,
717,any,,2,
717,birth,4,,7
717,death,2,2,
717,marriage,,,1
718,birth,1,6,
718,death,,6,
718,marriage,,6,
719,birth,3,,
719,death,3,,
720,birth,7,,3
720,death,5,,3
721,birth,7,,
721,death,6,,2
722,birth,6,,13
722,death,4,,13
722,marriage,,,9
723,birth,6,,
723,death,4,,
724,birth,1,,
725,birth,8,,
725,death,4,,
726,birth,1,1,2
726,death,,,2
727,any,,,4
727,birth,1,,
727,death,,,4
728,birth,7,4,
728,death,6,2,
728,marriage,,2,
730,birth,2,,1
730,death,2,,4
730,marriage,,,4
731,birth,6,,
731,death,4,,
732,birth,,,4
732,death,,,2
732,marriage,,,2
733,birth,4,,
733,death,4,,
734,any,,3,
734,death,,2,
735,birth,2,,3
735,death,2,,
736,any,,,5
736,birth,14,,
736,death,14,,
737,birth,1,,
738,birth,1,,
740,any,,6,
740,birth,4,4,
741,birth,4,,
741,death,3,,
742,any,,3,3
742,birth,31,,
742,death,26,,
743,any,,2,
743,birth,,2,4
743,death,,1,4
743,marriage,,2,
745,any,,1,
745,birth,2,,
746,birth,2,,
746,death,2,,
747,any,,2,
747,birth,80,6,5
747,death,56,2,2
747,marriage,,,2
748,any,,1,
748,birth,11,2,
748,death,6,2,
749,marriage,,1,
750,any,,6,3
750,birth,22,4,
750,death,16,,
751,birth,2,,
751,death,2,,
752,birth,2,,2
752,death,2,,2
753,birth,,1,
755,birth,10,,
755,death,10,,
756,birth,8,,
756,death,8,,
757,birth,,,4
757,death,,,3
757,marriage,,,3
759,birth,4,,
759,death,2,,
760,any,,3,18
760,birth,4,1,19
760,death,4,,
760,residence,,1,
761,birth,1,,3
761,death,,,3
761,marriage,,,3
763,birth,3,,
763,death,2,,
764,any,,1,
764,birth,,,6
764,death,4,,5
764,marriage,,,3
765,any,,1,
765,birth,5,,6
765,death,4,,6
765,marriage,,,6
766,birth,,,2
766,death,,,2
767,birth,6,,1
767,death,4,,
768,any,,2,
768,birth,22,3,4
768,death,18,3,
769,any,,6,
769,birth,1,23,
769,death,,16,
770,any,,1,1
770,birth,6,,
770,marriage,,,1
772,any,,1,
772,birth,2,2,3
772,death,,2,2
773,birth,4,,
773,death,4,,
773,marriage,,,1
774,birth,10,,
774,death,8,,
775,birth,13,,
775,death,12,,
776,birth,4,6,2
776,death,4,6,2
777,birth,8,,
777,death,8,,
778,any,,2,
778,birth,6,,
778,death,6,,
778,marriage,,1,
779,birth,1,,1
780,any,,4,6
780,birth,9,1,31
780,death,7,,22
782,birth,3,,11
782,death,2,,11
782,marriage,,,10
783,birth,6,,
783,death,7,,
784,birth,7,,
784,death,4,,
785,birth,2,,
785,death,1,,
786,any,,1,
786,birth,5,,
786,death,2,,
787,birth,,,2
787,death,,,2
788,birth,6,,
788,death,5,,
789,birth,1,,
790,any,,1,
790,birth,22,3,
790,death,13,,
792,any,,3,
792,birth,,,5
792,death,,2,4
792,marriage,,1,
793,any,,1,
793,birth,4,,
793,death,4,,
794,any,,3,
794,birth,,3,
794,death,,3,
794,marriage,,3,
795,any,,6,
795,birth,,7,
795,death,,6,
796,death,1,,
796,marriage,,,1
797,any,,3,
797,birth,4,,
798,birth,4,,
798,death,4,,
799,any,,3,
799,birth,2,,1
799,death,2,,
800,any,,25,11
800,birth,188,36,4
800,death,85,2,
800,marriage,1,26,
800,other,2,,
800,residence,,18,
801,any,,2,
801,birth,7,,2
801,death,4,,2
802,birth,10,,
802,death,8,,
803,birth,20,,
803,death,20,,
804,any,,1,
804,birth,37,,2
804,death,28,,2
805,any,,2,
805,birth,7,2,
805,death,6,,
806,any,,1,
806,birth,8,2,2
806,death,4,,
806,marriage,,,2
807,any,,3,
807,birth,6,2,1
807,death,6,,
808,any,,4,
808,birth,3,5,
808,death,,4,
809,any,,,2
809,birth,15,,
809,death,8,,
810,any,,7,3
810,birth,8,2,3
810,death,2,1,3
811,any,,2,
811,birth,4,,4
811,death,2,,4
812,any,,1,1
812,birth,4,1,5
812,death,4,,2
813,birth,11,1,
813,death,10,,
814,any,,15,17
814,birth,103,2,2
814,death,119,2,3
815,birth,6,,
815,death,7,,
816,birth,12,,
816,death,10,,
817,birth,4,,3
817,death,4,,
818,any,,3,
818,birth,11,,
818,death,10,,
819,any,,2,
819,birth,5,,
819,death,2,,
820,any,,13,2
820,birth,29,3,2
820,death,18,,
821,any,,2,
821,birth,,1,
822,birth,5,,
822,death,4,,
823,any,,4,
823,birth,27,,6
823,death,26,,6
823,marriage,,,6
825,any,,12,1
825,birth,1,,
826,birth,3,,
826,death,2,,
827,birth,6,,1
827,death,6,,
828,any,,2,
828,birth,4,,4
828,death,4,,
828,marriage,,,4
829,any,,2,
829,birth,3,,1
829,death,2,,
830,any,,1,1
830,birth,15,5,4
830,death,14,,
831,any,,5,
831,birth,1,,
832,any,,4,
832,birth,12,,
832,death,10,,
833,any,,1,
833,birth,2,,
833,death,2,,
834,any,,4,
834,birth,3,2,
834,death,2,2,
835,any,,3,
835,birth,12,3,1
835,death,6,,
836,any,,2,
836,birth,5,4,
836,death,2,,
837,birth,,,2
837,marriage,,1,2
838,any,,3,
838,birth,4,9,4
838,death,2,8,4
839,any,,6,
839,birth,8,22,
839,death,8,16,
840,any,,13,
840,birth,4,,
840,death,2,,
840,marriage,,3,
841,any,,1,
841,birth,2,,
841,death,2,,
841,marriage,,,1
842,any,,1,
842,birth,3,,11
842,death,,,10
843,any,,3,
843,birth,3,,1
843,death,3,,
844,any,,2,
844,birth,4,,
844,death,2,,
845,any,,1,
845,birth,14,,
845,death,15,,
845,marriage,,,1
846,any,,5,
846,birth,12,1,2
846,death,10,,2
847,any,,4,
847,birth,6,1,
848,any,,1,1
848,birth,17,1,1
848,death,14,,
849,birth,20,1,
849,death,16,,
850,any,,11,
850,birth,32,1,3
850,death,32,,1
851,any,,1,
851,birth,3,3,
851,death,2,,
851,marriage,,2,
852,birth,13,1,1
852,death,12,,
853,any,,1,
853,birth,8,5,
853,death,8,5,
853,marriage,,3,
854,any,,1,
854,birth,8,,
854,death,6,,
854,marriage,,1,
855,any,,2,
855,birth,3,,2
855,death,2,,
855,marriage,,,2
856,birth,7,,
856,death,4,,
857,any,,7,1
857,birth,,2,5
857,death,,,5
857,marriage,,,3
858,any,,4,3
858,birth,4,8,3
858,death,2,7,3
859,any,,2,
859,birth,2,,
859,death,3,,
860,any,,29,
860,birth,15,2,
860,death,8,,
860,marriage,,20,
860,residence,,2,
861,birth,,,1
862,birth,3,2,6
862,death,,,6
863,any,,5,
863,birth,3,,
863,death,4,,
865,any,,2,
865,birth,8,,
865,death,6,,
865,other,,,2
866,any,,4,
866,birth,9,2,
866,death,8,,
866,marriage,,1,
867,any,,2,
867,birth,4,,
867,death,4,,
868,birth,6,5,
868,death,6,4,
869,any,,2,
869,birth,6,3,
869,death,7,,
870,any,,10,4
870,birth,10,7,
870,death,4,,
870,marriage,,3,1
871,any,,,4
871,birth,11,,1
871,death,10,,
871,marriage,,,2
872,birth,1,2,5
872,death,,,4
873,birth,10,,
873,death,8,,2
873,marriage,,,2
874,any,,3,
874,birth,,2,5
874,death,1,2,3
874,marriage,,,6
875,any,,20,
875,birth,10,17,2
875,death,10,2,2
875,marriage,,1,
876,any,,1,
876,birth,11,,
876,death,10,,
877,any,,1,
877,birth,18,2,1
877,death,17,2,
878,any,,4,
878,birth,8,,
878,death,6,,
879,any,,,1
879,birth,13,4,2
879,death,10,,2
879,marriage,,,1
880,any,,2,14
880,birth,20,1,3
880,death,16,,
880,marriage,,,2
880,residence,,,14
881,birth,2,,2
881,death,1,,2
882,any,,4,
882,birth,1,,2
882,death,,,2
883,birth,7,,2
883,death,2,,
884,any,,1,
885,any,,5,
885,birth,4,6,
885,death,4,2,
886,any,,1,
886,birth,9,,
886,death,8,,
887,any,,4,
887,birth,6,,
887,death,6,,
888,birth,17,9,
888,death,16,7,
888,marriage,,3,
889,birth,2,,
889,death,2,,
890,any,,13,1
890,birth,25,4,1
890,death,20,,1
891,any,,2,
891,birth,,1,
891,death,,,1
891,marriage,,1,
892,birth,7,,7
892,death,6,,7
892,marriage,,,3
892,other,,,2
893,any,,11,2
893,birth,6,7,2
893,death,4,2,4
894,any,,3,
894,birth,3,3,
894,death,3,3,
895,any,,7,
895,birth,16,5,8
895,death,8,2,7
895,marriage,,2,3
896,any,,5,
896,birth,2,3,1
896,death,2,4,
896,marriage,,3,
897,any,,4,
897,death,1,,
898,any,,4,
898,birth,13,6,3
898,death,12,4,3
898,marriage,,,3
899,birth,37,,2
899,death,40,1,2
900,any,,56,11
900,birth,168,46,9
900,death,62,9,10
900,marriage,24,7,9
900,other,4,,
900,residence,2,23,
901,any,,8,
901,birth,15,2,
901,death,10,2,
902,any,,8,
902,birth,9,,6
902,death,8,,4
903,any,,1,
903,birth,3,,
904,any,,5,
904,birth,8,,10
904,death,2,,7
904,marriage,,7,3
905,any,,4,7
905,birth,8,4,6
905,death,2,,6
905,marriage,,,4
906,any,,2,
906,birth,9,4,
906,death,8,,
907,any,,1,
907,birth,17,,2
907,death,10,,2
908,any,,6,
908,birth,7,4,
908,death,5,4,
908,marriage,,1,
909,birth,10,19,
909,death,6,3,
909,marriage,,3,
910,any,,10,1
910,birth,18,17,7
910,death,14,15,
910,marriage,,15,
910,residence,,1,
911,any,,,2
911,birth,15,2,
911,death,4,,
912,any,,3,
912,birth,25,,5
912,death,21,1,4
912,marriage,,,1
913,any,,5,
913,birth,1,3,37
913,death,,,3
913,marriage,,,3
914,any,,4,
914,birth,14,4,19
914,death,17,8,19
914,marriage,,,18
915,any,,3,
915,birth,4,,
915,death,2,,
916,any,,2,
916,birth,18,2,
916,death,16,,
916,residence,,2,
917,any,,2,
917,birth,13,4,1
917,death,12,,
918,any,,1,
918,birth,10,2,4
918,death,11,2,4
919,any,,6,
919,birth,4,,
919,death,4,,
920,any,,6,1
920,birth,12,6,
920,death,6,,2
920,residence,,4,
921,any,,2,
921,birth,7,8,6
921,death,6,5,2
921,marriage,,4,
922,birth,8,,11
922,death,6,,9
922,marriage,,,11
923,any,,,2
923,birth,10,2,
923,death,6,2,
924,birth,16,,2
924,death,8,,2
925,any,,,1
925,birth,16,3,3
925,death,10,,3
925,marriage,,,4
925,residence,,2,
926,any,,3,2
926,birth,4,,
926,death,2,2,
926,marriage,,,2
927,birth,5,,3
927,death,4,,2
928,any,,4,
928,birth,6,7,
928,death,5,3,
928,marriage,,3,
928,residence,,4,
929,any,,1,
929,birth,3,,3
929,death,3,,2
929,other,,,3
930,any,,39,2
930,birth,14,11,
930,death,10,8,2
930,marriage,,3,
930,residence,,7,
931,any,,,1
931,birth,10,2,
931,death,10,2,
932,any,,2,5
932,birth,9,,6
932,death,10,,6
932,marriage,,,6
933,any,,4,4
933,birth,6,24,
933,death,5,24,4
933,marriage,,24,
934,any,,4,
934,birth,2,,7
934,death,3,,6
934,marriage,,,6
935,any,,1,
935,birth,14,,2
935,death,12,,2
936,any,,1,
936,birth,,2,
936,death,,2,
937,birth,,1,24
937,death,,,24
937,marriage,,,25
938,any,,1,
938,birth,4,,2
938,death,5,,2
939,any,,1,
939,birth,13,,2
939,death,12,5,7
939,marriage,,,2
940,any,,8,1
940,birth,8,11,2
940,death,6,4,2
940,residence,,2,
941,birth,2,,
941,death,2,,
942,any,,3,1
942,birth,4,11,2
942,death,4,11,2
942,marriage,,9,1
943,any,,6,3
943,birth,8,8,8
943,death,8,8,8
943,marriage,,,3
944,any,,1,
944,birth,2,,2
944,death,2,,2
945,any,,3,
945,birth,4,3,
945,death,4,2,
945,residence,,2,
946,marriage,,2,
947,any,,1,
947,birth,1,,17
947,death,,1,15
947,marriage,,,17
948,any,,1,
948,birth,11,2,
948,death,10,2,
949,any,,6,
949,birth,2,,
950,any,,15,1
950,birth,29,5,5
950,death,24,3,4
950,marriage,,3,2
950,residence,,1,
951,any,,1,
951,birth,13,1,
951,death,12,,1
952,any,,3,
952,birth,3,,3
952,death,3,,2
953,any,,4,
953,birth,,3,3
953,death,,2,3
953,marriage,,,3
954,birth,10,1,3
954,death,11,,3
954,marriage,,,3
955,any,,,4
955,birth,6,,
955,death,6,,
956,any,,,2
956,birth,7,4,2
956,death,6,3,
956,marriage,,3,
957,any,,3,
957,birth,5,3,6
957,death,4,3,5
957,marriage,,3,3
958,any,,1,2
958,birth,,3,5
958,death,,2,
959,any,,6,
959,birth,8,,
959,death,8,,
959,marriage,,6,
960,any,,4,1
960,birth,7,22,3
960,death,2,20,3
960,marriage,,18,3
961,birth,5,,3
961,death,5,,3
961,marriage,,,3
962,any,,5,12
962,birth,9,2,3
962,death,8,,2
962,marriage,,,12
963,any,,3,
963,birth,11,2,2
963,death,8,,
964,any,,,1
964,birth,3,,18
964,death,2,,18
964,marriage,,,18
965,any,,4,
965,birth,4,2,3
965,death,,2,3
965,marriage,,,3
966,birth,5,1,
966,death,4,,
967,birth,2,2,4
967,death,,2,
968,any,,11,3
968,birth,15,10,9
968,death,14,8,9
968,marriage,,3,
969,birth,14,,4
969,death,11,,4
969,residence,,,1
970,any,,14,
970,birth,41,4,6
970,death,26,2,6
970,marriage,,5,
971,any,,1,
971,birth,11,,
971,death,8,,
972,any,,6,
972,birth,7,1,7
972,death,5,,3
972,marriage,,,5
973,any,,3,
973,birth,8,3,
973,death,5,3,
973,marriage,,3,
974,birth,,,3
974,death,,,3
974,marriage,,,8
975,any,,2,
975,birth,8,,
975,death,4,,
976,birth,5,3,2
976,death,4,3,2
976,marriage,,3,
977,birth,2,,5
977,death,2,,3
977,marriage,,,5
978,birth,4,4,1
978,death,2,3,
978,marriage,,3,
979,birth,6,,
979,death,5,,
979,marriage,,,6
980,any,,3,
980,birth,31,,12
980,death,22,,12
980,marriage,,,6
981,birth,2,,
981,death,2,,
982,any,,2,
982,birth,9,2,4
982,death,6,,3
982,marriage,,,3
983,birth,2,1,
984,any,,3,
984,birth,9,,
984,death,8,,
985,any,,4,4
985,birth,4,2,7
985,death,2,4,7
985,marriage,,1,7
986,any,,6,
986,birth,6,,
986,death,6,,
987,any,,3,
987,birth,10,,
987,death,8,,
988,any,,2,
988,birth,8,2,2
988,death,6,,2
989,any,,1,
989,birth,6,12,4
989,death,6,12,2
989,marriage,,,1
989,residence,,,2
990,any,,4,6
990,birth,11,,1
990,death,5,,
991,any,,,1
991,birth,4,,
991,death,4,,
992,any,,4,
992,birth,2,,2
992,death,3,,
993,birth,5,,3
993,death,5,,3
993,marriage,,,3
994,any,,6,
994,birth,7,2,2
994,death,6,2,2
995,any,,1,
995,birth,11,,
995,death,6,,
996,birth,6,,
996,death,6,,
997,any,,2,
997,birth,26,,2
997,death,24,,2
998,birth,9,6,2
998,death,4,5,2
998,marriage,,2,
999,any,,,1
999,birth,21,,4
999,death,14,,2
999,residence,,,2
1000,any,,874,60
1000,birth,659,230,44
1000,death,355,25,
1000,marriage,22,59,16
1000,other,8,,
1000,residence,,1,12
1001,any,,6,
1001,birth,17,1,
1001,death,14,,
1002,any,,1,
1002,birth,10,3,7
1002,death,8,4,7
1002,marriage,,,2
1003,any,,2,
1003,birth,17,1,
1003,death,16,1,1
1004,any,,2,3
1004,birth,14,,1
1004,death,12,,
1005,any,,6,
1005,birth,23,7,2
1005,death,16,2,2
1006,any,,10,
1006,birth,22,2,2
1006,death,14,,2
1007,any,,4,
1007,birth,16,1,4
1007,death,10,,3
1007,marriage,,,3
1008,any,,21,16
1008,birth,32,38,26
1008,death,26,9,3
1008,marriage,,14,3
1009,any,,22,5
1009,birth,43,15,
1009,death,34,,
1010,any,,17,3
1010,birth,40,18,3
1010,death,22,18,2
1010,marriage,,10,
1010,residence,,8,
1011,any,,27,
1011,birth,15,25,4
1011,death,6,6,
1012,any,,13,
1012,birth,47,5,9
1012,death,37,,8
1012,marriage,,,7
1013,any,,22,
1013,birth,18,9,4
1013,death,18,8,3
1013,marriage,,,3
1014,any,,43,
1014,birth,29,32,12
1014,death,29,2,12
1014,marriage,,,6
1015,any,,46,
1015,birth,21,37,7
1015,death,17,16,6
1015,marriage,,32,
1016,any,,3,2
1016,birth,30,1,5
1016,death,41,,6
1016,marriage,,4,3
1017,any,,6,1
1017,birth,9,4,2
1017,death,8,,
1018,any,,8,
1018,birth,9,7,
1018,death,6,5,
1018,marriage,,3,
1019,any,,9,
1019,birth,12,2,
1019,death,12,,
1020,any,,43,8
1020,birth,59,42,
1020,death,44,10,1
1020,marriage,,11,
1020,residence,,11,
1021,any,,22,4
1021,birth,11,12,2
1021,death,6,,
1021,marriage,,3,
1022,any,,3,3
1022,birth,40,7,7
1022,death,36,3,6
1022,marriage,,3,3
1023,any,,20,4
1023,birth,26,14,3
1023,death,27,9,3
1023,marriage,,3,3
1023,residence,,10,
1024,any,,14,
1024,birth,15,10,3
1024,death,12,6,2
1024,marriage,,2,
1025,any,,33,
1025,birth,7,11,13
1025,death,5,,10
1025,marriage,,,1
1026,any,,5,2
1026,birth,20,5,3
1026,death,16,5,3
1026,marriage,,3,3
1027,any,,18,
1027,birth,37,14,4
1027,death,30,8,2
1027,marriage,,1,
1028,any,,8,
1028,birth,110,8,32
1028,death,84,4,24
1028,marriage,,,2
1029,any,,8,
1029,birth,9,9,2
1029,death,8,,2
1029,marriage,,4,1
1030,any,,29,5
1030,birth,40,13,13
1030,death,30,3,5
1030,marriage,,8,11
1030,residence,,8,2
1031,any,,17,
1031,birth,11,11,9
1031,death,10,3,15
1031,marriage,,3,15
1032,any,,7,2
1032,birth,7,9,4
1032,death,6,5,2
1032,marriage,,6,
1033,any,,14,
1033,birth,7,1,10
1033,death,6,3,4
1033,marriage,,,4
1033,residence,,2,
1034,any,,46,1
1034,birth,8,16,
1034,death,6,36,
1034,marriage,,3,
1035,any,,28,2
1035,birth,29,8,6
1035,death,25,7,8
1035,marriage,,3,3
1036,any,,4,
1036,birth,14,,7
1036,death,12,,7
1036,marriage,,2,3
1037,any,,11,1
1037,birth,,1,1
1037,death,,4,
1038,any,,13,
1038,birth,10,11,7
1038,death,8,,5
1038,marriage,,,5
1039,any,,10,2
1039,birth,,9,3
1039,death,,3,5
1039,marriage,,3,3
1040,any,,51,3
1040,birth,65,13,1
1040,death,45,6,1
1040,marriage,,4,
1040,residence,,2,
1041,any,,6,
1041,birth,18,23,
1041,death,16,20,
1042,any,,8,
1042,birth,7,4,3
1042,death,6,3,
1042,marriage,,3,
1043,any,,5,
1043,birth,17,7,5
1043,death,12,4,5
1043,marriage,,2,4
1044,any,,20,
1044,birth,13,12,2
1044,death,12,3,2
1044,marriage,,3,
1045,any,,28,5
1045,birth,29,15,1
1045,death,27,12,
1045,marriage,,1,
1045,residence,,14,
1046,any,,17,
1046,birth,13,4,4
1046,death,10,,3
1046,marriage,,,3
1047,any,,7,
1047,birth,5,2,6
1047,death,4,5,2
1047,marriage,,,4
1048,any,,5,
1048,birth,8,9,3
1048,death,5,7,3
1048,marriage,,3,4
1049,birth,5,4,
1049,death,4,2,
1050,any,,42,11
1050,birth,64,5,6
1050,death,40,6,6
1050,marriage,,7,4
1050,residence,,10,
1051,any,,7,
1051,birth,8,,3
1051,death,6,2,2
1052,any,,7,
1052,birth,13,4,12
1052,death,6,2,11
1052,marriage,,,3
1053,any,,9,
1053,birth,15,9,1
1053,death,10,6,
1053,marriage,,7,
1054,any,,2,
1054,birth,13,1,1
1054,death,10,,1
1055,any,,5,12
1055,birth,7,2,15
1055,death,6,,15
1055,marriage,,,3
1055,residence,,,12
1056,any,,14,
1056,birth,21,14,
1056,death,10,4,
1056,marriage,,6,
1057,any,,3,
1057,birth,17,1,8
1057,death,15,1,6
1057,marriage,,,7
1058,any,,8,
1058,birth,12,14,1
1058,death,5,5,
1058,marriage,,9,
1059,any,,2,
1059,birth,8,,
1059,death,8,,
1060,any,,18,17
1060,birth,27,3,6
1060,death,19,2,2
1060,marriage,,2,8
1061,any,,11,
1061,birth,5,,1
1061,death,2,,
1061,marriage,,3,
1062,any,,2,
1062,birth,10,,14
1062,death,8,,10
1062,marriage,,,8
1063,any,,7,
1063,birth,19,3,
1063,death,14,2,1
1064,any,,3,
1064,birth,17,7,
1064,death,6,6,
1065,any,,7,
1065,birth,23,2,2
1065,death,17,,2
1066,any,,34,26
1066,birth,28,,2
1066,death,25,,2
1066,residence,,,12
1067,any,,48,1
1067,birth,19,22,2
1067,death,14,23,
1067,marriage,,5,
1067,residence,,5,
1068,any,,25,5
1068,birth,34,9,13
1068,death,26,6,14
1069,any,,4,
1069,birth,18,1,
1069,death,16,,
1069,marriage,,1,
1070,any,,12,10
1070,birth,31,5,2
1070,death,31,2,
1070,marriage,,3,
1071,any,,1,
1071,birth,5,2,6
1071,death,4,2,8
1072,any,,6,9
1072,birth,16,4,12
1072,death,12,4,8
1072,marriage,,8,1
1073,any,,7,
1073,birth,7,2,
1073,death,4,,
1074,any,,7,
1074,birth,8,5,3
1074,death,9,6,3
1074,marriage,,2,3
1075,any,,14,4
1075,birth,32,12,2
1075,death,30,8,
1075,marriage,,6,
1075,residence,,2,
1076,any,,30,2
1076,birth,14,9,
1076,death,10,15,
1076,marriage,,4,5
1077,any,,,2
1077,birth,11,,7
1077,death,7,1,3
1077,marriage,,,3
1078,any,,17,
1078,birth,13,5,4
1078,death,6,12,1
1078,marriage,,2,4
1079,any,,3,
1079,birth,3,,6
1079,death,,,7
1079,marriage,,,6
1080,any,,31,
1080,birth,45,10,6
1080,death,37,2,2
1081,any,,2,
1081,birth,32,1,1
1081,death,26,,
1082,any,,7,10
1082,birth,10,,4
1082,death,4,4,9
1082,marriage,,,2
1083,any,,5,
1083,birth,6,4,
1083,death,,3,
1083,marriage,,3,
1084,any,,4,1
1084,birth,26,6,1
1084,death,22,6,
1084,marriage,,3,
1085,any,,4,
1085,birth,41,31,2
1085,death,30,,2
1085,marriage,,30,
1086,any,,19,
1086,birth,7,15,
1086,death,6,4,
1086,marriage,,5,
1087,any,,,5
1087,birth,112,4,21
1087,death,124,2,21
