year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
1855,death,,479,332
1855,marriage,,414,290
1855,residence,,168,113
1856,any,,1462,292
1856,birth,,514,202
1856,death,,253,49
1856,marriage,,223,52
1856,residence,,106,21
1857,any,,1697,402
1857,birth,,412,286
1857,death,,338,178
1857,marriage,,108,80
1857,residence,,36,4
1858,any,,1844,446
1858,birth,,659,330
1858,death,,460,118
1858,marriage,,379,105
1858,residence,,81,67
1859,any,,1583,363
1859,birth,,673,275
1859,death,,380,143
1859,marriage,,288,112
1859,residence,,103,30
1860,any,,5490,2416
1860,birth,,2203,1497
1860,death,,639,727
1860,marriage,,817,504
1860,residence,,677,395
1861,any,,1681,316
1861,birth,,660,267
1861,death,,332,136
1861,marriage,,272,89
1861,residence,,214,53
1862,any,,1907,520
1862,birth,,755,492
1862,death,,380,202
1862,marriage,,300,124
1862,residence,,62,37
1863,any,,1629,306
1863,birth,,614,270
1863,death,,306,99
1863,marriage,,231,108
1863,residence,,32,15
1864,any,,1917,603
1864,birth,,1290,311
1864,death,,835,148
1864,marriage,,345,62
1864,residence,,141,61
1865,any,,2329,1104
1865,birth,,788,883
1865,death,,321,219
1865,marriage,,311,422
1865,residence,,127,190
1866,any,,2090,444
1866,birth,,778,342
1866,death,,404,93
1866,marriage,,273,124
1866,residence,,79,25
1867,any,,1395,464
1867,birth,,671,291
1867,death,,310,128
1867,marriage,,212,80
1867,residence,,42,22
1868,any,,1908,524
1868,birth,,819,492
1868,death,,355,223
1868,marriage,,194,134
1868,residence,,104,34
1869,any,,1592,477
1869,birth,,595,351
1869,death,,292,104
1869,marriage,,165,45
1869,residence,,80,1
1870,any,,6359,2141
1870,birth,,2302,1361
1870,death,,979,458
1870,marriage,,918,366
1870,residence,,748,242
1871,any,,1846,402
1871,birth,,843,416
1871,death,,394,142
1871,marriage,,313,129
1871,residence,,96,17
1872,any,,2214,530
1872,birth,,820,392
1872,death,,266,112
1872,marriage,,322,122
1872,residence,,136,12
1873,any,,1855,357
1873,birth,,699,241
1873,death,,269,143
1873,marriage,,234,127
1873,residence,,70,56
1874,any,,1942,320
1874,birth,,799,345
1874,death,,422,126
1874,marriage,,274,139
1874,residence,,83,54
1875,any,,3016,1019
1875,birth,,1057,815
1875,death,,510,307
1875,marriage,,400,291
1875,residence,,109,49
1876,any,,1569,625
1876,birth,,672,560
1876,death,,308,248
1876,marriage,,321,279
1876,residence,,42,55
1877,any,,2183,297
1877,birth,,680,308
1877,death,,373,115
1877,marriage,,326,107
1877,residence,,50,25
1878,any,,2167,534
1878,birth,,808,441
1878,death,,379,231
1878,marriage,,268,204
1878,residence,,85,56
1879,any,,1785,549
1879,birth,,596,326
1879,death,,326,140
1879,marriage,,270,200
1879,residence,,20,38
1880,any,,7360,2796
1880,birth,,2755,1413
1880,death,,901,315
1880,marriage,,964,647
1880,residence,,576,451
1881,any,,2119,455
1881,birth,,768,288
1881,death,,475,150
1881,marriage,,357,161
1881,residence,,176,113
1882,any,,2703,616
1882,birth,,973,397
1882,death,,740,365
1882,marriage,,327,41
1882,residence,,188,43
1883,any,,2237,555
1883,birth,,733,341
1883,death,,300,150
1883,marriage,,305,157
1883,residence,,142,75
1884,any,,2348,590
1884,birth,,763,428
1884,death,,357,90
1884,marriage,,289,90
1884,residence,,95,162
1885,any,,2991,976
1885,birth,,1142,757
1885,death,,432,257
1885,marriage,,414,293
1885,residence,,208,120
1886,any,,2523,465
1886,birth,,819,298
1886,death,,277,115
1886,marriage,,341,139
1886,residence,,140,71
1887,any,,2227,488
1887,birth,,925,352
1887,death,,410,160
1887,marriage,,303,88
1887,residence,,28,39
1888,any,,3040,655
1888,birth,28,964,463
1888,death,,474,150
1888,marriage,,333,201
1888,residence,,109,69
1889,any,,2281,697
1889,birth,,873,490
1889,death,,486,236
1889,marriage,,464,122
1889,residence,,69,80
1890,any,,5889,3518
1890,birth,,2560,2078
1890,death,,1296,630
1890,marriage,,1046,730
1890,residence,,615,454
1891,any,,2180,598
1891,birth,,792,430
1891,death,,372,214
1891,marriage,,398,198
1891,residence,,129,69
1892,any,,1877,341
1892,birth,,785,294
1892,death,,484,137
1892,marriage,,254,76
1892,residence,,37,55
1893,any,,2420,562
1893,birth,,1042,451
1893,death,,642,287
1893,marriage,,485,137
1893,residence,,51,22
1894,any,,2123,398
1894,birth,,856,415
1894,death,,496,144
1894,marriage,,143,103
1894,residence,,121,33
1895,any,,2970,1205
1895,birth,,1165,1041
1895,death,,656,488
1895,marriage,,308,333
1895,residence,,197,208
1896,any,,2496,571
1896,birth,,855,368
1896,death,,462,183
1896,marriage,,301,89
1896,residence,,144,96
1897,any,,2277,375
1897,birth,,832,378
1897,death,,478,205
1897,marriage,,290,119
1897,residence,,136,58
1898,any,,2682,555
1898,birth,,915,391
1898,death,,509,154
1898,marriage,,455,119
1898,residence,,220,35
1899,any,,2466,1202
1899,birth,,804,725
1899,death,,397,486
1899,marriage,,308,181
1899,residence,,114,277
1900,any,,14927,8982
1900,birth,1625,4434,3341
1900,death,601,2271,1628
1900,marriage,303,1782,1845
1900,other,71,,
1900,residence,120,1320,1488
1901,any,,2334,773
1901,birth,,951,520
1901,death,,474,374
1901,marriage,,243,197
1901,residence,,68,49
1902,any,,2405,666
1902,birth,,763,472
1902,death,,411,75
1902,marriage,,303,101
1902,residence,,78,51
1903,any,,2115,715
1903,birth,,728,602
1903,death,,318,269
1903,marriage,,150,139
1903,residence,,80,20
1904,any,,2379,702
1904,birth,,917,543
1904,death,,561,288
1904,marriage,,502,470
1904,residence,,200,258
1905,any,,2596,943
1905,birth,,808,645
1905,death,,416,317
1905,marriage,,343,172
1905,residence,,145,84
1906,any,,2188,627
1906,birth,,837,502
1906,death,,464,208
1906,marriage,,314,206
1906,residence,,154,29
1907,any,,2474,554
1907,birth,,850,415
1907,death,,452,166
1907,marriage,,233,173
1907,residence,,114,69
1908,any,,2003,535
1908,birth,,637,362
1908,death,,307,191
1908,marriage,,353,194
1908,residence,,73,82
1909,any,,2194,571
1909,birth,,886,386
1909,death,,278,109
1909,marriage,,132,103
1909,residence,,200,53
1910,any,,4812,2991
1910,birth,,2076,1479
1910,death,,1227,643
1910,marriage,,961,635
1910,residence,,510,321
1911,any,,2551,655
1911,birth,,934,496
1911,death,,406,252
1911,marriage,,440,152
1911,residence,,170,62
1912,any,,2882,627
1912,birth,,1335,416
1912,death,,820,190
1912,marriage,,264,152
1912,residence,,252,42
1913,any,,2413,622
1913,birth,,937,493
1913,death,,557,357
1913,marriage,,438,70
1913,residence,,242,108
1914,any,,1980,694
1914,birth,,837,576
1914,death,,465,393
1914,marriage,,145,240
1914,residence,,106,119
1915,any,,2614,1209
1915,birth,,792,706
1915,death,,604,307
1915,marriage,,351,423
1915,residence,,96,101
1916,any,,1913,438
1916,birth,,740,262
1916,death,,363,129
1916,marriage,,258,67
1916,residence,,89,27
1917,any,,2112,557
1917,birth,,649,385
1917,death,,464,217
1917,marriage,,219,129
1917,residence,,40,72
1918,any,,2508,566
1918,birth,,1030,312
1918,death,,881,223
1918,marriage,,406,184
1918,residence,,266,86
1919,any,,2979,865
1919,birth,,1686,642
1919,death,,486,523
1919,marriage,,190,347
1919,residence,,135,147
1920,any,,5487,3394
1920,birth,,2023,1513
1920,death,,1291,680
1920,marriage,,913,625
1920,residence,,459,586
1921,any,,2029,607
1921,birth,,811,531
1921,death,,413,228
1921,marriage,,256,246
1921,residence,,60,63
1922,any,,2249,583
1922,birth,,966,487
1922,death,,605,172
1922,marriage,,252,173
1922,residence,,117,78
1923,any,,2716,580
1923,birth,,855,320
1923,death,,551,304
1923,marriage,,110,143
1923,residence,,72,98
1924,any,,2389,506
1924,birth,,745,443
1924,death,,332,264
1924,marriage,,379,82
1924,residence,,40,45
1925,any,,2949,1292
1925,birth,,1155,725
1925,death,,548,465
1925,marriage,,333,241
1925,residence,,133,133
1926,any,,2299,674
1926,birth,,742,431
1926,death,,512,202
1926,marriage,,149,193
1926,residence,,99,23
1927,any,,2135,404
1927,birth,,895,313
1927,death,,607,176
1927,marriage,,352,189
1927,residence,,188,33
1928,any,,2116,604
1928,birth,,789,410
1928,death,,567,218
1928,marriage,,427,201
1928,residence,,152,95
1929,any,,1927,420
1929,birth,,663,316
1929,death,,353,178
1929,marriage,,218,74
1929,residence,,78,24
1930,any,,4609,3213
1930,birth,,1809,1466
1930,death,,1345,785
1930,marriage,,792,560
1930,residence,,398,516
1931,any,,1640,512
1931,birth,,598,323
1931,death,,344,222
1931,marriage,,132,99
1931,residence,,74,58
1932,any,,2095,492
1932,birth,,467,317
1932,death,,488,157
1932,marriage,,201,112
1932,residence,,53,77
1933,any,,1865,608
1933,birth,,729,392
1933,death,,304,273
1933,marriage,,168,76
1933,residence,,51,37
1934,any,,1543,412
1934,birth,,565,354
1934,death,,271,171
1934,marriage,,169,35
1934,residence,,88,92
1935,any,,2280,1281
1935,birth,,777,847
1935,death,,389,449
1935,marriage,,308,489
1935,residence,,149,77
1936,any,,2016,469
1936,birth,,469,325
1936,death,,400,213
1936,marriage,,152,106
1936,residence,,57,25
1937,any,,1592,889
1937,birth,,533,725
1937,death,,230,164
1937,marriage,,116,385
1937,residence,,28,92
1938,any,,2094,433
1938,birth,,574,350
1938,death,,296,215
1938,marriage,,322,184
1938,residence,,40,23
1939,any,,1795,422
1939,birth,,549,320
1939,death,,246,160
1939,marriage,,134,105
1939,residence,,171,101
1940,any,,4444,2836
1940,birth,,1459,1313
1940,death,,1129,752
1940,marriage,,712,738
1940,residence,,480,347
1941,any,,1526,434
1941,birth,,418,269
1941,death,,321,214
1941,marriage,,244,104
1941,residence,,105,34
1942,any,,1894,563
1942,birth,,598,354
1942,death,,433,224
1942,marriage,,185,104
1942,residence,,97,82
1943,any,,1582,501
1943,birth,,580,240
1943,death,,293,259
1943,marriage,,177,70
1943,residence,,50,75
1944,any,,1916,555
1944,birth,,560,304
1944,death,,466,149
1944,marriage,,232,119
1944,residence,,238,87
1945,any,,2249,1198
1945,birth,,543,550
1945,death,,553,403
1945,marriage,,212,309
1945,residence,,141,181
1946,any,,1973,345
1946,birth,,501,152
1946,death,,384,127
1946,marriage,,141,69
1946,residence,,95,25
1947,any,,1674,448
1947,birth,,554,194
1947,death,,255,182
1947,marriage,,179,66
1947,residence,,54,20
1948,any,,1791,417
1948,birth,,661,229
1948,death,,321,146
1948,marriage,,269,105
1948,residence,,78,38
1949,any,,1544,366
1949,birth,,500,175
1949,death,,318,151
1949,marriage,,192,53
1949,residence,,54,31
1950,any,,3652,4050
1950,birth,,1069,1435
1950,death,,716,993
1950,marriage,,440,684
1950,residence,,550,863
1951,any,,1440,527
1951,birth,,491,243
1951,death,,273,146
1951,marriage,,154,158
1951,residence,,10,23
1952,any,,1440,747
1952,birth,,500,216
1952,death,,448,224
1952,marriage,,102,74
1952,residence,,85,42
1953,any,,1534,483
1953,birth,,506,254
1953,death,,320,231
1953,marriage,,158,211
1953,residence,,58,71
1954,any,,1363,326
1954,birth,,332,150
1954,death,,299,107
1954,marriage,,98,41
1954,residence,,56,46
1955,any,,1733,974
1955,birth,,642,505
1955,death,,290,408
1955,marriage,,220,232
1955,residence,,110,75
1956,any,,1127,397
1956,birth,,350,178
1956,death,,355,142
1956,marriage,,124,76
1956,residence,,31,68
1957,any,,1460,436
1957,birth,,666,307
1957,death,,271,156
1957,marriage,,178,72
1957,residence,,114,37
1958,any,,1405,434
1958,birth,,406,246
1958,death,,338,157
1958,marriage,,207,116
1958,residence,,68,59
1959,any,,1236,385
1959,birth,,458,261
1959,death,,204,150
1959,marriage,,103,47
1959,residence,,52,25
1960,any,,2070,2310
1960,birth,,727,764
1960,death,,680,816
1960,marriage,,284,402
1960,residence,,243,475
1961,any,,880,235
1961,birth,,341,122
1961,death,,160,101
1961,marriage,,50,54
1961,residence,,61,27
1962,any,,1109,381
1962,birth,,368,287
1962,death,,291,244
1962,marriage,,83,81
1962,residence,,80,124
1963,any,,1016,486
1963,birth,,344,193
1963,death,,234,83
1963,marriage,,118,91
1963,residence,,59,98
1964,any,,1384,502
1964,birth,,366,237
1964,death,,377,289
1964,marriage,,51,137
1964,residence,,19,74
1965,any,,1474,773
1965,birth,,575,239
1965,death,,362,286
1965,marriage,,159,66
1965,residence,,168,85
1966,any,,1047,412
1966,birth,,271,216
1966,death,,223,116
1966,marriage,,149,90
1966,residence,,46,29
1967,any,,1223,486
1967,birth,,479,228
1967,death,,318,276
1967,marriage,,80,113
1967,residence,,86,84
1968,any,,1351,823
1968,birth,,703,231
1968,death,,279,333
1968,marriage,,145,139
1968,residence,,106,182
1969,any,,1225,578
1969,birth,,473,283
1969,death,,298,257
1969,marriage,,65,122
1969,residence,,41,88
1970,any,,2031,1929
1970,birth,,687,712
1970,death,,783,467
1970,marriage,,182,341
1970,residence,,168,275
1971,any,,1337,382
1971,birth,,470,149
1971,death,,255,107
1971,marriage,,178,42
1971,residence,,17,2
1972,any,,1176,667
1972,birth,,496,451
1972,death,,449,438
1972,marriage,,263,174
1972,residence,,107,101
1973,any,,1157,383
1973,birth,,344,175
1973,death,,187,187
1973,marriage,,79,39
1973,residence,,25,45
1974,any,,1434,295
1974,birth,,364,150
1974,death,,352,102
1974,marriage,,74,28
1974,residence,,102,38
1975,any,,1213,692
1975,birth,,331,315
1975,death,,364,292
1975,marriage,,132,91
1975,residence,,61,64
1976,any,,1005,286
1976,birth,,398,97
1976,death,,291,127
1976,marriage,,120,50
1976,residence,,73,33
1977,any,,1000,391
1977,birth,,310,140
1977,death,,208,198
1977,marriage,,64,19
1977,residence,,47,55
1978,any,,1153,426
1978,birth,,341,177
1978,death,,233,155
1978,marriage,,108,59
1978,residence,,42,43
1979,any,,937,339
1979,birth,,274,122
1979,death,,218,142
1979,marriage,,90,21
1979,residence,,21,16
1980,any,,1765,1753
1980,birth,,593,548
1980,death,,645,715
1980,marriage,,169,364
1980,residence,,126,224
1981,any,,997,424
1981,birth,,238,151
1981,death,,224,201
1981,marriage,,62,30
1981,residence,,29,34
1982,any,,1067,341
1982,birth,,317,157
1982,death,,232,170
1982,marriage,,91,20
1982,residence,,33,59
1983,any,,1029,273
1983,birth,,258,144
1983,death,,165,118
1983,marriage,,81,13
1983,residence,,32,16
1984,any,,1207,332
1984,birth,,424,193
1984,death,,238,135
1984,marriage,,104,89
1984,residence,,69,88
1985,any,,1228,629
1985,birth,,437,278
1985,death,,393,230
1985,marriage,,102,63
1985,residence,,89,37
1986,any,,1127,443
1986,birth,,313,234
1986,death,,199,255
1986,marriage,,102,50
1986,residence,,23,42
1987,any,,1097,402
1987,birth,,342,212
1987,death,,258,221
1987,marriage,,51,56
1987,residence,,33,33
1988,any,,1077,329
1988,birth,,305,152
1988,death,,183,175
1988,marriage,,71,18
1988,residence,,53,45
1989,any,,1121,353
1989,birth,,349,131
1989,death,,238,155
1989,marriage,,77,24
1989,residence,,34,9
1990,any,,1315,1514
1990,birth,,374,488
1990,death,,362,346
1990,marriage,,122,128
1990,residence,,78,124
1991,any,,893,323
1991,birth,,235,134
1991,death,,203,93
1991,marriage,,20,25
1991,residence,,16,4
1992,any,,891,428
1992,birth,,275,186
1992,death,,187,208
1992,marriage,,19,83
1992,residence,,29,34
1993,any,,1004,372
1993,birth,,298,165
1993,death,,200,162
1993,marriage,,52,21
1993,residence,,96,100
1994,any,,999,406
1994,birth,,269,137
1994,death,,207,147
1994,marriage,,72,41
1994,residence,,44,36
1995,any,,1136,597
1995,birth,,336,234
1995,death,,250,269
1995,marriage,,60,40
1995,residence,,32,58
1996,any,,1058,368
1996,birth,,272,121
1996,death,,205,140
1996,marriage,,47,27
1996,residence,,38,33
1997,any,,1013,370
1997,birth,,229,145
1997,death,,153,176
1997,marriage,,46,16
1997,residence,,6,12
1998,any,,1125,329
1998,birth,,407,109
1998,death,,258,125
1998,marriage,,19,16
1998,residence,,52,3
1999,any,,969,573
1999,birth,,218,229
1999,death,,216,202
1999,marriage,,42,61
1999,residence,,44,47
2000,any,,1663,2853
2000,birth,54,596,580
2000,death,284,550,431
2000,marriage,26,134,87
2000,other,14,,
2000,residence,8,203,223
2001,any,,1010,383
2001,birth,,305,139
2001,death,,214,108
2001,marriage,,32,34
2001,residence,,58,23
2002,any,,940,377
2002,birth,,278,185
2002,death,,198,180
2002,marriage,,46,50
2002,residence,,33,50
2003,any,,1095,376
2003,birth,,393,169
2003,death,,220,181
2003,marriage,,76,100
2003,residence,,68,120
2004,any,,1018,386
2004,birth,,270,157
2004,death,,277,183
2004,marriage,,19,38
2004,residence,,74,14
2005,any,,914,410
2005,birth,,244,195
2005,death,,278,171
2005,marriage,,24,29
2005,residence,,34,25
2006,any,,1005,311
2006,birth,,327,139
2006,death,,237,98
2006,marriage,,39,22
2006,residence,,50,17
2007,any,,1025,416
2007,birth,,315,220
2007,death,,147,228
2007,marriage,,9,5
2007,residence,,46,17
2008,any,,847,358
2008,birth,,209,177
2008,death,,176,157
2008,marriage,,22,19
2008,residence,,18,61
2009,any,,795,399
2009,birth,,259,124
2009,death,,237,231
2009,marriage,,49,42
2009,residence,,40,42
2010,any,,794,814
2010,birth,,176,216
2010,death,,359,320
2010,marriage,,104,96
2010,residence,,17,110
2011,any,,563,287
2011,birth,,177,90
2011,death,,225,155
2011,marriage,,46,40
2011,residence,,43,12
2012,any,,512,436
2012,birth,,157,167
2012,death,,284,266
2012,marriage,,52,69
2012,residence,,17,37
2013,any,,317,332
2013,birth,,117,132
2013,death,,137,155
2013,marriage,,55,60
2013,residence,,44,49
2014,any,,263,292
2014,birth,,66,188
2014,death,,135,174
2014,marriage,,28,67
2014,residence,,14,55
2015,any,,389,540
2015,birth,,126,184
2015,death,,249,305
2015,marriage,,48,26
2015,residence,,31,54
2016,any,,280,245
2016,birth,,66,64
2016,death,,178,121
2016,marriage,,15,3
2016,residence,,9,40
2017,any,,413,373
2017,birth,,116,125
2017,death,,267,280
2017,marriage,,67,56
2017,residence,,40,60
2018,any,,406,399
2018,birth,,183,145
2018,death,,264,246
2018,marriage,,99,35
2018,residence,,40,79
2019,any,,365,352
2019,birth,,153,122
2019,death,,227,161
2019,marriage,,91,43
2019,residence,,29,20
2020,any,,481,1014
2020,birth,,220,236
2020,death,,370,405
2020,marriage,,134,51
2020,residence,,29,98
2021,any,,427,424
2021,birth,,124,154
2021,death,,314,222
2021,marriage,,50,53
2021,residence,,19,51
2022,any,,538,898
2022,birth,,152,284
2022,death,,298,401
2022,marriage,,72,64
2022,residence,,38,125
2023,any,,414,6446
2023,birth,,81,2493
2023,death,,184,473
2023,marriage,,23,536
2023,residence,,16,1120
2027,birth,,,1
