0,1979
50,398
100,62
150,406
200,15
250,0
300,7
350,4
400,2
450,2
500,2
550,4
600,12
650,12
700,7
750,10
800,42
850,51
900,50
950,189
1000,143
1050,156
1100,58
1150,88
1200,27
1250,125
1300,65
1350,559
1400,226
1450,9875
1500,2858
1550,20609
1600,12567
1650,46844
1700,47611
1750,153560
1800,301897
1850,538947
1900,461565
1950,241941
2000,44126
